Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.143,0.189,0.13,0.172,0.044,0.0579,0.137,0.183,0.756,0.752,0.757,0.746
2.5,0.00016,0.115,0.151,0.104,0.138,0.0353,0.0465,0.109,0.146,0.757,0.752,0.757,0.746
3,0.00016,0.0955,0.126,0.0867,0.115,0.0296,0.0389,0.0912,0.122,0.757,0.753,0.756,0.746
3.5,0.00016,0.0819,0.108,0.0743,0.0985,0.0255,0.0335,0.0783,0.105,0.757,0.753,0.756,0.745
4,0.00016,0.0717,0.0945,0.0651,0.0862,0.0224,0.0295,0.0685,0.0917,0.757,0.753,0.755,0.745
