Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.0546,0.116,0.0487,0.104,0.00358,0.00752,0.0485,0.11,0.469,0.465,0.455,0.438
2.5,0.00016,0.0438,0.093,0.0391,0.0835,0.00347,0.00732,0.039,0.0884,0.469,0.466,0.452,0.439
3,0.00016,0.0366,0.0775,0.0327,0.0697,0.00337,0.00716,0.0326,0.0738,0.47,0.467,0.449,0.439
3.5,0.00016,0.0315,0.0665,0.0281,0.0598,0.00329,0.00701,0.028,0.0633,0.471,0.468,0.447,0.44
4,0.00016,0.0276,0.0582,0.0247,0.0523,0.00321,0.00688,0.0246,0.0555,0.472,0.469,0.444,0.44
