ConfidenceLevel,RiskfreeRate,BaseCVar_u,BaseCVar_sig,WorstCaseCVar_u,WorstCaseCVar_sig,BaseCVar_SR,WorstCaseCVar_SR
0.0001,0.00016,0.000364,0.006,0.000364,0.006,0.034,0.034
0.0201,0.00016,0.000445,0.00597,0.00042,0.00592,0.0478,0.0439
0.0401,0.00016,0.000295,0.00576,0.000304,0.00576,0.0236,0.025
0.0601,0.00016,0.00034,0.00583,0.000279,0.00572,0.0309,0.0208
0.0801,0.00016,0.00035,0.00569,0.000412,0.00573,0.0335,0.0441
