Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.00281,0.0147,0.00281,0.0147,0.00128,0.0058,0.00281,0.0147,0.181,0.181,0.193,0.181
2.5,0.00016,0.00281,0.0147,0.00281,0.0147,0.00127,0.00579,0.00271,0.0135,0.181,0.181,0.192,0.189
3,0.00016,0.00276,0.014,0.00275,0.0139,0.00127,0.00577,0.0026,0.0123,0.186,0.186,0.192,0.199
3.5,0.00016,0.00266,0.0129,0.00265,0.0128,0.00126,0.00576,0.00252,0.0114,0.194,0.195,0.191,0.206
4,0.00016,0.00259,0.0121,0.00258,0.012,0.00125,0.00575,0.00246,0.0109,0.201,0.202,0.19,0.211
