ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,6.88e-05,0.0054,8.22e-05,0.005,-0.0168,-0.0155
0.0201,0.00016,0.000163,0.00542,0.000192,0.00498,0.000528,0.00656
0.0401,0.00016,0.000208,0.00543,0.000242,0.00498,0.00883,0.0165
0.0601,0.00016,0.000244,0.00544,0.000278,0.00498,0.0155,0.0239
0.0801,0.00016,0.000278,0.00545,0.000311,0.00497,0.0218,0.0305
