ConfidenceLevel,RiskfreeRate,BaseCVar_u,BaseCVar_sig,WorstCaseCVar_u,WorstCaseCVar_sig,BaseCVar_SR,WorstCaseCVar_SR
0.0001,0.00016,0.000238,0.00348,0.000238,0.00348,0.0226,0.0226
0.0201,0.00016,0.000239,0.00345,0.000238,0.00348,0.023,0.0226
0.0401,0.00016,0.0003,0.00315,0.000243,0.00315,0.0447,0.0264
0.0601,0.00016,0.000328,0.00302,0.000298,0.00314,0.0557,0.0441
0.0801,0.00016,0.000343,0.00297,0.000315,0.00303,0.0617,0.0514
