Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.0025,0.0127,0.0025,0.0127,0.00157,0.00576,0.00241,0.0118,0.185,0.185,0.245,0.191
2.5,0.00016,0.0025,0.0127,0.0025,0.0126,0.00156,0.00573,0.00232,0.0107,0.185,0.185,0.244,0.202
3,0.00016,0.00247,0.0122,0.00245,0.0119,0.00155,0.00569,0.00223,0.00973,0.19,0.192,0.244,0.213
3.5,0.00016,0.00239,0.0112,0.00239,0.0112,0.00153,0.00566,0.00216,0.00907,0.199,0.199,0.243,0.221
4,0.00016,0.00234,0.0105,0.00234,0.0105,0.00152,0.00563,0.00211,0.00862,0.207,0.207,0.242,0.226
