Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.00398,0.0199,0.00398,0.0199,0.0015,0.00571,0.0035,0.0155,0.192,0.192,0.235,0.216
2.5,0.00016,0.00398,0.0199,0.00398,0.0199,0.00149,0.00569,0.00329,0.0138,0.192,0.192,0.234,0.227
3,0.00016,0.00378,0.0179,0.00375,0.0177,0.00148,0.00568,0.00314,0.0128,0.202,0.203,0.233,0.233
3.5,0.00016,0.00357,0.0161,0.00356,0.016,0.00148,0.00566,0.00304,0.0122,0.212,0.213,0.232,0.237
4,0.00016,0.00342,0.0147,0.0034,0.0146,0.00147,0.00565,0.00297,0.0118,0.221,0.222,0.232,0.239
