ConfidenceLevel,RiskfreeRate,BaseCVar_u,BaseCVar_sig,WorstCaseCVar_u,WorstCaseCVar_sig,BaseCVar_SR,WorstCaseCVar_SR
0.0001,0.00016,0.000677,0.00604,0.000677,0.00604,0.0856,0.0856
0.0201,0.00016,0.000658,0.0059,0.000665,0.0059,0.0844,0.0857
0.0401,0.00016,0.000629,0.0059,0.000638,0.00586,0.0796,0.0816
0.0601,0.00016,0.00067,0.00582,0.000663,0.0058,0.0876,0.0868
0.0801,0.00016,0.000701,0.00585,0.000703,0.00583,0.0925,0.0931
