Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.000159640844175276,0.00398295689205201,0.0198792295900998,0.00398295689205201,0.0198792295900998,0.00150000262221792,0.00570697355491552,0.00349692938850521,0.0154709552483951,0.192327173975636,0.192327173975636,0.234863849489572,0.215713153502666
2.5,0.000159640844175276,0.00398295689205201,0.0198792295900998,0.00398295689205201,0.0198792295900998,0.00149196972807445,0.00569239942024389,0.00328567847707005,0.0137981856914497,0.192327173975636,0.192327173975636,0.234054005269027,0.226554251609461
3,0.000159640844175276,0.00377712394092027,0.0179172897709185,0.00374689275980213,0.0176406835876955,0.00148409561364198,0.00567825702107097,0.00314484455565946,0.0128089341936558,0.201899011680691,0.20335107184446,0.233250232342759,0.233056370370202
3.5,0.000159640844175276,0.00357423474170143,0.0160708599928672,0.00355477581408921,0.0158999974331668,0.00147650627770119,0.00566476228417344,0.00304424889340478,0.012180439656933,0.212471137141489,0.213530535723975,0.23246614199594,0.236822982624244
4,0.000159640844175276,0.0034209908145094,0.0147386665271445,0.00340362023364558,0.0145931235794169,0.00146923042831017,0.00565195117019673,0.00296880211547154,0.0117591024026911,0.221278496553785,0.222295067386794,0.231705749872802,0.238892491543689
