Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.000159640844175276,0.00250286658302663,0.0126850466748415,0.00250282600410451,0.0126845943385733,0.00157141418680451,0.00575968959743322,0.00240548923113609,0.0117669279818376,0.184723462113759,0.184726850334008,0.245112747613758,0.190861063348675
2.5,0.000159640844175276,0.00250285724169758,0.012684880982999,0.00249829267073959,0.012620723118624,0.00155864748458499,0.00572566729354342,0.00232166318209816,0.0106827527959788,0.184725138585282,0.185302522255104,0.244339492444367,0.202384383427529
3,0.000159640844175276,0.00246649993723764,0.0121661613038009,0.00244920410936507,0.0119494615181613,0.00154611993342526,0.00569276975774222,0.0022294502628929,0.00972748445317423,0.189612732846281,0.191603886226172,0.243550880898416,0.212779514444992
3.5,0.000159640844175276,0.00239404062130417,0.0112077374960543,0.00239293491873202,0.0111947687027672,0.00153442858812725,0.00566250958034597,0.00215908382185061,0.00906752969401651,0.199362251115849,0.19949443654023,0.242787711781316,0.220505809757064
4,0.000159640844175276,0.0023403350846261,0.0105470804813826,0.00233753180541506,0.0105149778755681,0.00152338990653847,0.00563433714129716,0.00210630704345199,0.00861523308292238,0.206758092374485,0.207122733591308,0.242042502633989,0.225956300954353
