ConfidenceLevel,RiskfreeRate,BaseCVar_u,BaseCVar_sig,WorstCaseCVar_u,WorstCaseCVar_sig,BaseCVar_SR,WorstCaseCVar_SR
0.0001,0.00016,0.000792,0.0065,0.000792,0.0065,0.0974,0.0974
0.0201,0.00016,0.000847,0.00664,0.000771,0.00644,0.104,0.095
0.0401,0.00016,0.000718,0.00645,0.000782,0.00647,0.0867,0.0962
0.0601,0.00016,0.000771,0.00617,0.00075,0.00635,0.099,0.0929
0.0801,0.00016,0.000773,0.00606,0.000758,0.00614,0.101,0.0975
