ConfidenceLevel & RiskfreeRate & BaseVar_u & BaseVar_sig & WorstCaseVar_u & WorstCaseVar_sig & BaseVar_SR & WorstCaseVar_SR
0.0001 & 0.00016 & 0.000667 & 0.00484 & 0.00071 & 0.00496 & 0.105 & 0.111
0.0201 & 0.00016 & 0.000713 & 0.00485 & 0.000755 & 0.00497 & 0.114 & 0.12
0.0401 & 0.00016 & 0.000735 & 0.00485 & 0.000776 & 0.00498 & 0.119 & 0.124
0.0601 & 0.00016 & 0.000751 & 0.00486 & 0.000793 & 0.00499 & 0.122 & 0.127
0.0801 & 0.00016 & 0.000765 & 0.00486 & 0.000807 & 0.005 & 0.124 & 0.13
