ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,0.000587,0.00507,0.000605,0.0051,0.0842,0.0873
0.0201,0.00016,0.000636,0.00508,0.000645,0.0051,0.0937,0.0951
0.0401,0.00016,0.00066,0.00508,0.000663,0.00511,0.0984,0.0986
0.0601,0.00016,0.00068,0.00509,0.000678,0.00511,0.102,0.101
0.0801,0.00016,0.000694,0.00509,0.000691,0.00512,0.105,0.104
