Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.0878,0.148,0.084,0.141,0.0363,0.0604,0.0855,0.146,0.594,0.593,0.598,0.587
2.5,0.00016,0.0704,0.118,0.0674,0.113,0.0293,0.0485,0.0686,0.117,0.595,0.594,0.6,0.587
3,0.00016,0.0588,0.0984,0.0563,0.0943,0.0246,0.0405,0.0573,0.0972,0.596,0.595,0.602,0.588
3.5,0.00016,0.0505,0.0844,0.0483,0.0809,0.0212,0.0349,0.0492,0.0834,0.596,0.596,0.603,0.589
4,0.00016,0.0443,0.0739,0.0424,0.0708,0.0187,0.0306,0.0432,0.073,0.597,0.597,0.604,0.589
