ConfidenceLevel,RiskfreeRate,BaseCVar_u,BaseCVar_sig,WorstCaseCVar_u,WorstCaseCVar_sig,BaseCVar_SR,WorstCaseCVar_SR
0.0001,0.00016,0.000191,0.00341,0.000191,0.00341,0.00931,0.00931
0.0201,0.00016,0.000157,0.00289,0.000305,0.00322,-0.000925,0.0452
0.0401,0.00016,0.000239,0.00291,0.000237,0.00284,0.0272,0.027
0.0601,0.00016,0.00033,0.00284,0.000285,0.00284,0.06,0.0441
0.0801,0.00016,0.000351,0.00289,0.000328,0.00284,0.0662,0.0593
