ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,0.00011,0.00557,7.01e-05,0.00543,-0.00899,-0.0165
0.0201,0.00016,0.000201,0.00558,0.00016,0.00544,0.00736,-1.16e-05
0.0401,0.00016,0.000239,0.00559,0.000198,0.00544,0.0142,0.00703
0.0601,0.00016,0.000269,0.00559,0.000237,0.00544,0.0196,0.0143
0.0801,0.00016,0.000305,0.00561,0.000272,0.00545,0.026,0.0206
