,AAPL,ABBV,ABT,ACN,ADBE,AGN,AIG,ALL,AMGN,AMZN,AXP,BA,BAC,BIIB,BK,BKNG,BLK,BMY,C,CAT,CHTR,CL,CMCSA,COF,COP,COST,CSCO,CVS,CVX,DD,DHR,DIS,DUK,EMR,EXC,F,FB,FDX,GD,GE,GILD,GM,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KHC,KMI,KO,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,OXY,PEP,PFE,PG,PM,PYPL,QCOM,RTN,SBUX,SLB,SO,SPG,T,TGT,TMO,TXN,UNH,UNP,UPS,USB,UTX,V,VZ,WBA,WFC,WMT,XOM
517,151.1646270751953,82.36946105957031,67.66558074951172,144.6293487548828,237.77000427246094,142.97732543945312,39.882545471191406,81.49317169189453,195.3118896484375,1656.219970703125,96.3650894165039,342.6300048828125,24.998149871826172,331.19000244140625,46.024539947509766,1677.3299560546875,384.7855224609375,45.79157638549805,54.51826858520508,128.39454650878906,292.6700134277344,59.92515563964844,34.89944076538086,78.21941375732422,65.98775482177734,208.15232849121094,41.67314910888672,62.959022521972656,107.76107788085938,77.14720153808594,104.70856475830078,111.43809509277344,80.92677307128906,59.86732864379883,44.05214309692383,7.994267463684082,144.1999969482422,166.61119079589844,157.83082580566406,8.5532808303833,64.91537475585938,32.92676544189453,1070.3299560546875,1078.8299560546875,171.39694213867188,173.1538848876953,134.27618408203125,115.01495361328125,47.14584732055664,125.35448455810547,96.5121841430664,42.47005081176758,16.35183334350586,45.22768783569336,112.79568481445312,268.8310241699219,93.69314575195312,195.93727111816406,176.1692657470703,41.240699768066406,82.5821533203125,41.41740036010742,185.60867309570312,44.546878814697266,71.91079711914062,40.21982955932617,101.8124008178711,170.35870361328125,324.6600036621094,75.40991973876953,144.57855224609375,46.80982208251953,60.14255142211914,104.3292465209961,40.382816314697266,88.15248107910156,63.198760986328125,90.69999694824219,54.34327697753906,156.47288513183594,62.71461486816406,38.84404373168945,43.92313003540039,162.33963012695312,28.69068717956543,65.8072280883789,238.0477752685547,94.372802734375,239.75921630859375,150.40771484375,94.61927795410156,45.39521026611328,107.46102905273438,137.58660888671875,55.263572692871094,69.65547180175781,45.42219543457031,92.66497802734375,67.78377532958984
518,149.6804656982422,82.47219848632812,67.91046142578125,143.8521728515625,237.5500030517578,145.87010192871094,40.113643646240234,81.4053726196289,193.26895141601562,1640.56005859375,96.64950561523438,342.9118347167969,25.289615631103516,333.2099914550781,46.615962982177734,1665.8900146484375,383.25408935546875,46.05066680908203,54.759761810302734,127.56409454345703,294.5400085449219,60.196571350097656,34.71432113647461,79.18798828125,64.48228454589844,208.02386474609375,41.914085388183594,63.20873260498047,106.89672088623047,76.59300231933594,104.60919189453125,111.28990936279297,80.3003921508789,59.78057861328125,44.05214309692383,8.132575988769531,143.8000030517578,167.46327209472656,159.17176818847656,8.5532808303833,65.02986145019531,35.24955749511719,1057.18994140625,1064.469970703125,172.30262756347656,173.49232482910156,133.89599609375,114.70331573486328,47.505069732666016,125.39313507080078,96.05072784423828,42.479366302490234,16.116350173950195,45.487117767333984,113.02918243408203,269.0538330078125,94.981689453125,194.89266967773438,176.9649658203125,41.133548736572266,82.5821533203125,41.75164794921875,184.27606201171875,44.583351135253906,72.3163070678711,40.29706954956055,101.02619934082031,170.66952514648438,337.5899963378906,75.03494262695312,148.16238403320312,47.2698974609375,60.1698112487793,104.33889770507812,40.926856994628906,88.73262023925781,64.45067596435547,90.6500015258789,55.013004302978516,156.0708465576172,62.26518249511719,38.927982330322266,44.179039001464844,161.4031524658203,29.134262084960938,67.0792465209961,239.18389892578125,95.21299743652344,242.50079345703125,148.99758911132812,93.66266632080078,45.51994323730469,107.01332092285156,136.98138427734375,55.66653823852539,68.91547393798828,45.536346435546875,92.5478744506836,67.47332000732422
519,147.42971801757812,80.12772369384766,67.18224334716797,142.5733184814453,234.55999755859375,145.87010192871094,40.44102096557617,81.74681091308594,189.6263885498047,1617.2099609375,96.54163360595703,340.4436950683594,25.619943618774414,330.4200134277344,46.94560623168945,1692.8800048828125,381.8190002441406,46.031471252441406,56.92348861694336,127.2743911743164,291.55999755859375,59.721595764160156,34.85072708129883,79.63803100585938,63.72471618652344,206.53170776367188,41.64422607421875,62.75730514526367,106.11782836914062,76.73155212402344,103.44641876220703,111.06268310546875,79.39878845214844,59.462486267089844,43.33061599731445,8.289327621459961,145.38999938964844,168.01171875,159.87135314941406,8.515009880065918,64.16165924072266,35.70463562011719,1044.68994140625,1051.510009765625,174.04580688476562,172.91212463378906,134.13970947265625,113.69284057617188,46.941959381103516,123.97249603271484,97.04093933105469,43.075435638427734,16.22938346862793,45.30455780029297,111.56986236572266,268.8407287597656,94.60099029541016,194.4250946044922,175.84906005859375,41.3770637512207,82.49455261230469,41.99039077758789,184.23770141601562,43.999847412109375,70.83908081054688,41.01148223876953,100.28914642333984,166.3180389404297,332.94000244140625,75.08428192138672,149.76516723632812,47.1622200012207,59.58828353881836,103.52857971191406,40.44008255004883,88.13314819335938,64.56196594238281,90.43000030517578,54.8216552734375,157.38478088378906,61.91345977783203,38.53627014160156,43.75251388549805,159.89541625976562,28.8983154296875,66.33724212646484,234.2407684326172,93.0304183959961,242.8826446533203,149.6588592529297,94.83929443359375,45.85578155517578,107.88927459716797,136.0288848876953,55.67612838745117,67.89677429199219,46.059532165527344,92.65521240234375,67.3886489868164
520,150.44712829589844,80.82728576660156,69.34719848632812,144.50143432617188,242.36000061035156,149.22219848632812,40.87431716918945,82.16627502441406,192.13185119628906,1674.56005859375,96.10030364990234,342.2705078125,25.794824600219727,337.5400085449219,47.90546417236328,1698.31005859375,385.9509582519531,47.71075439453125,59.29007339477539,126.2024917602539,294.0,60.312896728515625,34.90918731689453,79.75543212890625,64.13263702392578,208.53773498535156,42.42488098144531,61.220558166503906,106.4977798461914,76.2188949584961,104.39054870605469,110.41065216064453,80.80340576171875,59.29863357543945,44.05214309692383,8.151017189025879,148.9499969482422,167.11068725585938,158.52073669433594,8.352364540100098,65.37332916259766,35.60034942626953,1077.1500244140625,1086.510009765625,175.20469665527344,170.64930725097656,134.29566955566406,114.95829772949219,47.18467712402344,125.0162353515625,97.75235748291016,43.690128326416016,16.31415557861328,45.70811462402344,113.91450500488281,267.3778991699219,92.64863586425781,195.50949096679688,175.65499877929688,41.82511520385742,83.74049377441406,42.07633972167969,181.14102172851562,43.68074035644531,71.93010711669922,41.39765930175781,103.19806671142578,169.70790100097656,354.6400146484375,76.85062408447266,149.19772338867188,47.54549026489258,59.533756256103516,105.13957214355469,40.783687591552734,88.96468353271484,65.37803649902344,91.5999984741211,53.319557189941406,157.02197265625,62.607139587402344,38.909324645996094,44.34965133666992,160.35427856445312,28.87944221496582,65.73014831542969,234.6693115234375,94.28587341308594,251.50875854492188,148.2876434326172,93.32783508300781,46.02849197387695,108.09366607666016,136.26699829101562,55.743289947509766,68.99236297607422,45.34609603881836,93.92379760742188,67.42626953125
521,152.2850799560547,80.87455749511719,68.70755004882812,145.475341796875,241.9499969482422,149.41766357421875,41.52907943725586,82.46867370605469,191.65968322753906,1683.780029296875,97.492919921875,342.0955505371094,27.640783309936523,332.0299987792969,48.89440155029297,1680.5699462890625,397.82684326171875,47.144596099853516,60.07249069213867,127.13917541503906,293.80999755859375,60.22565460205078,34.977386474609375,81.80998229980469,63.77327346801758,207.69776916503906,42.36705017089844,61.393436431884766,105.81388092041016,76.75926208496094,103.84394836425781,109.57091522216797,80.92677307128906,59.16368865966797,44.061767578125,7.643884181976318,147.5399932861328,167.8256378173828,158.96771240234375,8.591548919677734,64.53374481201172,35.714115142822266,1080.969970703125,1089.510009765625,191.92562866210938,171.2004852294922,134.53936767578125,114.85441589355469,46.72836685180664,123.74055480957031,98.54067993164062,43.624935150146484,16.4554443359375,45.08355712890625,113.63237762451172,263.8807067871094,91.72126770019531,196.75306701660156,174.03448486328125,41.56212615966797,84.67494201660156,42.84986877441406,181.65872192382812,43.03341293334961,72.03631591796875,42.95199966430664,103.56168365478516,169.6690673828125,351.3900146484375,76.65326690673828,148.17236328125,47.23101043701172,59.188480377197266,104.51254272460938,40.191932678222656,88.34585571289062,65.60986328125,90.55000305175781,52.87945556640625,156.27676391601562,62.304264068603516,38.47098922729492,44.42547607421875,161.9088592529297,28.84168815612793,65.38323211669922,233.8321533203125,93.84162902832031,256.0029602050781,147.7916717529297,92.78256225585938,47.12235641479492,107.90874481201172,136.26699829101562,54.76466751098633,69.19416809082031,46.55418395996094,94.0213851928711,67.3980484008789
522,153.18930053710938,82.43437194824219,69.39639282226562,146.6951904296875,244.39999389648438,153.0043182373047,41.683135986328125,82.49794006347656,194.5795135498047,1693.219970703125,97.57137298583984,348.9266357421875,28.165420532226562,338.3399963378906,49.960906982421875,1724.510009765625,397.325927734375,47.59560012817383,60.342960357666016,129.9202880859375,294.4100036621094,60.099639892578125,34.98712921142578,81.83932495117188,65.13304138183594,208.96266174316406,42.607994079589844,60.86518096923828,106.34579467773438,79.03156280517578,104.91726684570312,109.66970825195312,81.27792358398438,59.76129913330078,44.27341842651367,7.708427906036377,148.3000030517578,169.69622802734375,161.94830322265625,8.744629859924316,65.49736785888672,36.27347946166992,1089.9000244140625,1099.1199951171875,193.883056640625,169.10208129882812,136.3524627685547,115.39270782470703,47.05846405029297,124.75530242919922,98.94445037841797,43.84846496582031,16.690921783447266,45.21807861328125,115.9283676147461,270.0904235839844,89.85677337646484,198.28512573242188,175.74229431152344,41.922523498535156,85.2686996459961,43.02176284790039,183.79669189453125,42.9057731628418,72.99217224121094,41.05975341796875,104.2889175415039,170.45582580566406,353.19000244140625,78.0841064453125,151.03945922851562,47.742042541503906,59.81544494628906,105.3614501953125,40.53553009033203,88.33338165283203,67.25127410888672,90.4000015258789,52.401084899902344,159.66940307617188,62.80253982543945,38.58290481567383,44.615047454833984,162.2647247314453,28.917190551757812,66.84797668457031,237.360107421875,94.19896697998047,254.34820556640625,150.38827514648438,95.26021575927734,47.736454010009766,109.75799560546875,136.20748901367188,54.52480697631836,69.18456268310547,46.830047607421875,94.4019546508789,67.85902404785156
523,154.1328582763672,84.60868072509766,70.28205871582031,148.00355529785156,247.50999450683594,156.58119201660156,42.520843505859375,83.6002426147461,196.46829223632812,1696.199951171875,98.54228973388672,354.4070129394531,28.466604232788086,337.4200134277344,51.056495666503906,1760.260009765625,404.000732421875,48.09458541870117,60.970821380615234,132.7581787109375,291.3999938964844,60.71033477783203,35.2794189453125,83.13074493408203,65.94891357421875,211.06748962402344,43.398277282714844,62.93019104003906,108.63494873046875,80.44481658935547,106.78564453125,109.69934844970703,81.23997497558594,61.38064193725586,44.33114242553711,7.911281585693359,150.0399932861328,173.26116943359375,164.7432098388672,8.668088912963867,66.0030288696289,36.60531234741211,1098.260009765625,1107.300048828125,197.24281311035156,173.65672302246094,138.27279663085938,116.9320297241211,47.75749588012695,126.30156707763672,100.5499496459961,44.267574310302734,16.964086532592773,45.746551513671875,113.42805480957031,274.0332946777344,92.71696472167969,200.96128845214844,177.15904235839844,42.23421096801758,84.97669219970703,43.27006149291992,187.77537536621094,44.045433044433594,73.25285339355469,42.179656982421875,105.85147857666016,171.03860473632812,339.1000061035156,79.38665008544922,156.22605895996094,48.420143127441406,60.905799865722656,106.1814193725586,40.592796325683594,89.0935287475586,68.42900085449219,91.12000274658203,52.87945556640625,162.18936157226562,63.212886810302734,41.71654510498047,44.75722885131836,162.910888671875,29.219196319580078,68.1103515625,239.8416748046875,96.01456451416016,259.9586486816406,153.9865264892578,97.19258880615234,48.18743133544922,110.85782623291016,137.41795349121094,54.77425765991211,69.60741424560547,47.572017669677734,95.36803436279297,68.66812133789062
524,150.6731719970703,83.81459045410156,70.35094451904297,146.54762268066406,243.85000610351562,154.21615600585938,41.75054168701172,83.75634002685547,194.63734436035156,1632.1700439453125,97.90481567382812,347.77032470703125,28.262577056884766,338.9599914550781,50.98863220214844,1708.97998046875,398.3662109375,47.71075439453125,59.74406814575195,128.5207977294922,284.9700012207031,60.25166702270508,34.071285247802734,81.59474182128906,63.860687255859375,209.8915557861328,43.1573371887207,62.35390853881836,106.70674133300781,77.92312622070312,105.7520751953125,109.26465606689453,81.24945831298828,60.73482894897461,44.494693756103516,7.837516784667969,147.57000732421875,172.27198791503906,163.41416931152344,8.285391807556152,65.4019546508789,36.16919708251953,1070.52001953125,1078.6300048828125,192.50994873046875,171.2681884765625,136.2939910888672,115.70433807373047,46.864288330078125,124.47503662109375,98.96367645263672,44.03473663330078,16.606149673461914,45.85224914550781,113.91450500488281,270.85577392578125,89.83242797851562,198.4343719482422,179.09976196289062,42.01018524169922,84.68466186523438,42.84986877441406,184.32398986816406,41.000267028808594,73.21424102783203,40.94390106201172,103.85650634765625,172.29161071777344,325.1600036621094,79.68268585205078,148.10267639160156,48.09583282470703,59.17031478881836,106.0270767211914,40.34463882446289,88.13847351074219,67.52020263671875,89.94000244140625,51.94184494018555,160.5224609375,63.887027740478516,40.998416900634766,44.615047454833984,162.25534057617188,28.860565185546875,67.72489166259766,239.8815155029297,93.31049346923828,260.1446838378906,150.75782775878906,98.2257308959961,48.11066436767578,108.09366607666016,136.97146606445312,54.678321838378906,68.8001480102539,47.42932891845703,95.13382720947266,67.63323974609375
525,151.2825469970703,83.61605834960938,68.7961196899414,146.00656127929688,245.13999938964844,157.1382293701172,41.23058319091797,83.78559875488281,194.23260498046875,1640.02001953125,97.7871322631836,348.460205078125,28.097412109375,337.2200012207031,51.44431686401367,1744.31005859375,393.4347839355469,47.9410514831543,60.014530181884766,128.1126251220703,284.5299987792969,60.846954345703125,35.94194412231445,76.50729370117188,63.96752166748047,209.585205078125,43.81269454956055,63.49687957763672,105.80438232421875,78.1863784790039,105.47380828857422,109.77838134765625,81.74297332763672,60.146854400634766,45.09115982055664,7.689987659454346,144.3000030517578,170.09776306152344,164.96795654296875,8.352364540100098,65.11573028564453,35.714115142822266,1075.5699462890625,1084.4100341796875,191.75033569335938,171.05545043945312,137.1907958984375,125.49746704101562,46.54389572143555,124.47503662109375,98.71372985839844,43.829837799072266,16.238800048828125,46.38072204589844,115.56839752197266,274.6532897949219,90.09734344482422,197.330078125,180.57470703125,42.38031768798828,84.84042358398438,42.47743225097656,184.3527374267578,40.75410842895508,72.83768463134766,40.692893981933594,104.86872863769531,174.23423767089844,321.989990234375,79.43598937988281,148.6203155517578,48.39065933227539,58.67055892944336,106.81809997558594,40.239654541015625,92.42649841308594,68.6237564086914,90.5,49.53083419799805,161.9834442138672,64.90312957763672,40.3922119140625,45.098453521728516,163.10755920410156,29.153133392333984,67.76344299316406,240.63894653320312,92.21918487548828,261.4469299316406,150.0867919921875,96.54207611083984,48.484886169433594,113.91394805908203,135.93959045410156,55.41707992553711,68.91547393798828,47.676658630371094,96.32434844970703,67.07818603515625
526,150.08343505859375,81.18651580810547,69.7309799194336,147.70843505859375,242.55999755859375,153.9913787841797,41.34613037109375,84.13677978515625,193.6640625,1654.9300537109375,97.79693603515625,348.12982177734375,28.25286102294922,332.8699951171875,52.074527740478516,1795.6700439453125,391.5854797363281,47.039039611816406,60.57478713989258,128.99700927734375,287.5799865722656,60.7005729675293,35.308650970458984,78.44442749023438,64.22005462646484,207.82623291015625,43.95726776123047,62.88716506958008,107.81807708740234,78.04782104492188,105.3943099975586,109.21526336669922,82.28394317626953,60.76374816894531,45.1777458190918,7.929723739624023,145.8300018310547,170.5091094970703,166.93223571777344,8.400199890136719,64.74363708496094,36.17867660522461,1073.9000244140625,1084.0,192.62681579589844,171.44224548339844,137.6196746826172,125.15750122070312,48.31089401245117,122.76446533203125,98.77140045166016,43.34552764892578,16.464860916137695,45.82341766357422,111.87144470214844,276.33892822265625,90.06790924072266,198.76266479492188,181.81678771972656,41.912776947021484,84.90856170654297,42.99311828613281,184.57325744628906,39.50503921508789,70.64598083496094,40.59634780883789,104.3675308227539,175.10841369628906,326.6700134277344,79.37679290771484,157.1319580078125,48.35134506225586,59.0431022644043,105.63156127929688,39.08476638793945,91.9002456665039,66.35174560546875,92.19999694824219,48.612361907958984,163.08164978027344,63.25197219848633,40.625370025634766,45.45863342285156,164.13771057128906,28.87944221496582,68.04289245605469,239.76193237304688,98.5931167602539,260.5755310058594,155.93154907226562,95.375,48.83031463623047,112.47347259521484,136.6241912841797,54.755069732666016,68.54066467285156,47.54348373413086,95.98280334472656,67.1722640991211
