Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.0384,0.097,0.0336,0.0853,0.00307,0.00752,0.0357,0.0954,0.394,0.392,0.387,0.373
2.5,0.00016,0.0309,0.0777,0.027,0.0683,0.003,0.00739,0.0288,0.0765,0.396,0.393,0.384,0.374
3,0.00016,0.0259,0.0648,0.0227,0.057,0.00294,0.00728,0.0241,0.0639,0.397,0.395,0.382,0.375
3.5,0.00016,0.0223,0.0556,0.0196,0.0489,0.00289,0.00717,0.0208,0.055,0.399,0.397,0.38,0.376
4,0.00016,0.0196,0.0487,0.0172,0.0429,0.00284,0.00708,0.0183,0.0482,0.4,0.398,0.378,0.377
