ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,0.00037,0.00561,0.000412,0.0052,0.0374,0.0486
0.0201,0.00016,0.000446,0.0056,0.000487,0.00517,0.0511,0.0632
0.0401,0.00016,0.000476,0.00559,0.00052,0.00516,0.0566,0.0698
0.0601,0.00016,0.0005,0.00559,0.000545,0.00516,0.0608,0.0747
0.0801,0.00016,0.00052,0.00559,0.000565,0.00516,0.0646,0.0787
