ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,0.000646,0.00571,0.0006,0.00557,0.0851,0.0791
0.0201,0.00016,0.000715,0.00572,0.000657,0.00556,0.0971,0.0895
0.0401,0.00016,0.000744,0.00572,0.000684,0.00556,0.102,0.0942
0.0601,0.00016,0.000763,0.00573,0.000705,0.00556,0.105,0.098
0.0801,0.00016,0.000777,0.00573,0.000723,0.00556,0.108,0.101
