Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.00253,0.0119,0.00253,0.0119,0.00146,0.00595,0.00242,0.0106,0.2,0.198,0.218,0.213
2.5,0.00016,0.00252,0.0116,0.00251,0.0116,0.00145,0.00593,0.00241,0.0106,0.203,0.204,0.218,0.213
3,0.00016,0.0025,0.0114,0.0025,0.0113,0.00144,0.00592,0.00233,0.00996,0.205,0.207,0.217,0.217
3.5,0.00016,0.00249,0.0112,0.00248,0.0111,0.00143,0.0059,0.00224,0.00934,0.208,0.209,0.216,0.222
4,0.00016,0.00247,0.011,0.00246,0.011,0.00142,0.00588,0.00217,0.0089,0.21,0.21,0.215,0.225
