Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.000159640844175276,0.0019058122392747,0.0099460505973291,0.00190751459451967,0.00998982521878572,0.00151144865560901,0.00673710856584535,0.0018831339728253,0.00967033363876251,0.175564298412914,0.174965398499419,0.200651035710913,0.178224784483296
2.5,0.000159640844175276,0.00189834407999448,0.00977599236148458,0.00189815230751774,0.0097731223397838,0.00149557367180647,0.00667163622679432,0.00186845775149709,0.0094454783021308,0.177854397950365,0.177887005083876,0.20024065794623,0.180913750755886
3,0.000159640844175276,0.00188163454179265,0.00945737706620896,0.00188143796555451,0.0094546684907752,0.00147905939493098,0.0066051956993648,0.00185867359036964,0.00932161984771379,0.182079416476903,0.182110787179812,0.199754649341062,0.182267972085459
3.5,0.000159640844175276,0.00186963627051535,0.00925890646000592,0.00186949927518726,0.00925736025004712,0.00146415828642454,0.00654670499748108,0.00185168490311323,0.00924647384815574,0.184686543030372,0.184702591757006,0.199263208400438,0.182993440172379
4,0.000159640844175276,0.00186066507476615,0.00912821723718872,0.00186054520334019,0.009127016478979,0.00144985610768215,0.00649190553507964,0.00184644339093605,0.00919759313468222,0.18634791289375,0.18635929529462,0.198742149979705,0.183396082220705
