ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,0.00017,0.00541,0.000129,0.00522,0.00196,-0.0058
0.0201,0.00016,0.000243,0.00544,0.000185,0.00523,0.0153,0.00483
0.0401,0.00016,0.000274,0.00546,0.000207,0.00524,0.0209,0.00908
0.0601,0.00016,0.000298,0.00547,0.000225,0.00524,0.0253,0.0124
0.0801,0.00016,0.00032,0.00548,0.00024,0.00525,0.0292,0.0152
