ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,0.000305,0.00503,0.000381,0.00476,0.0288,0.0465
0.0201,0.00016,0.000353,0.00502,0.000431,0.00474,0.0386,0.0571
0.0401,0.00016,0.000375,0.00502,0.000452,0.00474,0.043,0.0617
0.0601,0.00016,0.000394,0.00501,0.000469,0.00473,0.0467,0.0653
0.0801,0.00016,0.000411,0.00501,0.000483,0.00473,0.0501,0.0683
