Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.0357,0.0936,0.0347,0.091,0.016,0.0411,0.0356,0.0945,0.38,0.38,0.385,0.375
2.5,0.00016,0.0287,0.075,0.0279,0.0729,0.013,0.0332,0.0286,0.0757,0.381,0.381,0.387,0.376
3,0.00016,0.024,0.0625,0.0234,0.0608,0.011,0.028,0.024,0.0632,0.382,0.382,0.388,0.377
3.5,0.00016,0.0207,0.0537,0.0201,0.0522,0.0096,0.0242,0.0207,0.0542,0.383,0.383,0.39,0.378
4,0.00016,0.0182,0.047,0.0177,0.0457,0.00855,0.0215,0.0182,0.0475,0.384,0.384,0.39,0.379
