Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.00208,0.0109,0.00208,0.0111,0.00119,0.0053,0.00161,0.00751,0.175,0.173,0.195,0.193
2.5,0.00016,0.00206,0.0107,0.00207,0.0108,0.00119,0.00529,0.00158,0.00736,0.178,0.177,0.194,0.193
3,0.00016,0.00206,0.0106,0.00204,0.0104,0.00118,0.00528,0.00156,0.00728,0.18,0.181,0.194,0.193
3.5,0.00016,0.00202,0.01,0.00201,0.00984,0.00118,0.00527,0.00155,0.00723,0.186,0.188,0.193,0.192
4,0.00016,0.00199,0.0096,0.00198,0.00948,0.00118,0.00527,0.00154,0.0072,0.191,0.192,0.193,0.192
