,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BHP.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CCL.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DLG.L,EVR.L,EXPN.L,EZJ.L,FERG.L,FLTR.L,FRES.L,GLEN.L,GSK.L,HIK.L,HL.L,HLMA.L,HSBA.L,HSX.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JE.L,JMAT.L,LAND.L,LGEN.L,LLOY.L,LSE.L,MCRO.L,MKS.L,MNDI.L,MRO.L,MRW.L,NG.L,NMC.L,NXT.L,OCDO.L,PHNX.L,PRU.L,PSN.L,PSON.L,RB.L,RBS.L,RDSA.L,RDSB.L,REL.L,RIO.L,RMV.L,RR.L,RSA.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SLA.L,SMDS.L,SMIN.L,SMT.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TUI.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
169,1442.1890869140625,2280.426025390625,1930.71044921875,2297.336669921875,783.3303833007812,444.6809387207031,455.2422180175781,5644.3525390625,588.5601196289062,169.94558715820312,3726.943359375,502.6480407714844,1461.74365234375,3659.837158203125,587.88525390625,2248.805908203125,499.8843078613281,2168.29638671875,204.6077117919922,2471.9765625,4277.5771484375,124.79165649414062,1621.458740234375,5033.49853515625,2418.783447265625,6830.1328125,2682.63916015625,310.0419921875,380.8890075683594,1850.0828857421875,1483.7529296875,5772.017578125,6856.5107421875,911.2461547851562,280.6104736328125,1495.0455322265625,1903.5556640625,2102.801025390625,1401.4769287109375,617.9412231445312,1639.8388671875,621.3453369140625,4854.8701171875,7.6361165046691895,2259.56787109375,746.9158935546875,5121.47705078125,152.61581420898438,776.0,3512.083251953125,836.964111328125,240.46078491210938,57.47441482543945,4337.7490234375,1424.83740234375,264.0254821777344,2012.158447265625,218.29177856445312,258.48150634765625,767.141357421875,4026.40869140625,5219.669921875,1079.5,630.5682983398438,1669.533447265625,2098.137451171875,904.6756591796875,6574.41943359375,223.48793029785156,2274.10986328125,2314.880859375,1669.91162109375,3317.96826171875,480.6797180175781,1003.6638793945312,588.3191528320312,331.47802734375,316.46392822265625,2968.226806640625,605.1904907226562,638.0830688476562,3066.174072265625,337.9932556152344,464.34234619140625,1560.9814453125,543.2323608398438,1331.78564453125,1135.012451171875,601.9190063476562,1078.00146484375,1881.67626953125,245.8729705810547,1155.5816650390625,4214.611328125,696.6141967773438,160.7696990966797,1198.6767578125,3852.906982421875
170,1455.29638671875,2262.058837890625,1958.86865234375,2300.26953125,779.13134765625,445.07049560546875,456.2622985839844,5626.3466796875,581.9639892578125,170.6829071044922,3694.397216796875,504.68377685546875,1484.796142578125,3650.98291015625,584.7532348632812,2245.896728515625,502.60302734375,2174.122314453125,204.382080078125,2477.586181640625,4295.939453125,123.24784851074219,1626.280029296875,5019.82177734375,2442.212158203125,6844.7060546875,2668.0966796875,312.9536437988281,376.1092834472656,1857.4263916015625,1430.8275146484375,5781.56298828125,6885.29931640625,927.5079345703125,281.70806884765625,1497.27001953125,1869.3455810546875,2097.933349609375,1405.427490234375,615.0856323242188,1632.9857177734375,621.3453369140625,4859.99853515625,7.6361165046691895,2259.56787109375,746.3323974609375,5086.3984375,154.6525421142578,775.0,3406.971435546875,831.505615234375,240.17919921875,57.6729621887207,4380.1025390625,1422.574462890625,265.4313049316406,2040.6593017578125,216.2562255859375,259.7832946777344,758.1531982421875,3877.576416015625,5238.88134765625,1100.0,632.8268432617188,1678.1590576171875,2121.354736328125,906.8259887695312,6555.962890625,223.48793029785156,2295.018798828125,2335.34619140625,1685.0439453125,3345.112548828125,477.8314208984375,996.3092651367188,589.792724609375,329.897216796875,319.7409362792969,2983.561767578125,610.9616088867188,636.5272216796875,3060.478271484375,336.62542724609375,471.353759765625,1546.9010009765625,546.1145629882812,1348.365966796875,1131.4007568359375,603.1289672851562,1085.0350341796875,1862.9158935546875,246.93362426757812,1152.3851318359375,4224.63232421875,687.45556640625,160.36810302734375,1195.9105224609375,3902.41552734375
171,1417.8201904296875,2286.226318359375,1951.3597412109375,2316.888671875,768.251708984375,441.46710205078125,455.0567321777344,5573.27685546875,577.8179321289062,168.78436279296875,3659.139404296875,505.609130859375,1475.720458984375,3673.120849609375,582.3583374023438,2249.77587890625,505.2311096191406,2196.455810546875,203.2990264892578,2491.6103515625,4282.97119140625,123.29072570800781,1609.88720703125,5048.4501953125,2424.406494140625,6903.0,2672.459228515625,313.4232482910156,382.2210388183594,1868.1968994140625,1438.191162109375,5850.2890625,6925.9833984375,905.368408203125,283.9946594238281,1483.1798095703125,1844.690673828125,2112.5361328125,1410.36572265625,614.1041259765625,1624.1746826171875,621.5221557617188,4846.65966796875,7.6361165046691895,2220.102294921875,748.0830078125,5107.8349609375,155.0691375732422,781.0,3406.007080078125,836.50927734375,239.99148559570312,57.446048736572266,4439.626953125,1435.5875244140625,268.4206848144531,2037.0435791015625,219.35804748535156,259.5904846191406,759.0798950195312,3770.417236328125,5217.74951171875,1114.5,641.4090576171875,1674.455078125,2140.2724609375,908.3898315429688,6538.47802734375,223.12274169921875,2307.2919921875,2353.537841796875,1688.948974609375,3312.991455078125,482.9387512207031,987.483642578125,590.3453369140625,331.1816711425781,318.80462646484375,2976.852783203125,617.1173706054688,636.1382446289062,3092.75390625,338.7296142578125,477.3368225097656,1549.814208984375,547.9034423828125,1342.5142822265625,1131.4007568359375,600.1505737304688,1085.0350341796875,1840.4033203125,244.61949157714844,1159.177978515625,4230.3583984375,680.5399169921875,160.58714294433594,1194.9884033203125,3874.263671875
172,1453.819580078125,2281.392578125,1950.4212646484375,2323.731689453125,795.5460815429688,443.1227111816406,456.54052734375,5578.015625,576.6871948242188,169.26361083984375,3533.928466796875,501.3525085449219,1507.6669921875,3608.593017578125,582.3583374023438,2259.472900390625,510.8497619628906,2199.369140625,201.99032592773438,2485.065673828125,4320.0048828125,121.78980255126953,1616.155029296875,5076.01171875,2475.949462890625,6830.1328125,2666.15771484375,314.0807189941406,385.1986083984375,1866.2386474609375,1441.8729248046875,5870.33447265625,6979.26025390625,927.8997802734375,293.3696594238281,1485.9608154296875,1872.194091796875,2117.40380859375,1413.32861328125,612.3194580078125,1649.6290283203125,623.643310546875,4874.37158203125,7.6361165046691895,2185.3701171875,743.998291015625,5101.98876953125,153.2175750732422,786.0,3427.222412109375,836.964111328125,241.21160888671875,57.52168655395508,4451.4921875,1458.787109375,267.3658752441406,2048.546875,222.94454956054688,257.2761535644531,754.5394287109375,3782.32373046875,5254.25,1079.5,645.0226440429688,1677.83984375,2110.176025390625,906.6304931640625,6518.07861328125,223.48793029785156,2330.473876953125,2377.6416015625,1688.948974609375,3365.018798828125,485.39422607421875,990.425537109375,589.9769287109375,331.37921142578125,314.9659118652344,2984.52001953125,619.041015625,635.1658935546875,3104.145263671875,339.6767578125,474.7192077636719,1556.611572265625,551.8788452148438,1339.1007080078125,1129.143310546875,602.3843994140625,1085.0350341796875,1815.5455322265625,245.48728942871094,1165.5712890625,4232.2666015625,669.8860473632812,159.98475646972656,1192.2222900390625,3880.08837890625
173,1501.264892578125,2209.857666015625,1959.8072509765625,2360.88037109375,808.7161865234375,440.1036376953125,459.41534423828125,5605.49755859375,582.90625,169.30047607421875,3518.56005859375,504.4987487792969,1550.3231201171875,3639.36767578125,586.9641723632812,2254.624267578125,507.2248229980469,2257.63037109375,202.84774780273438,2471.041748046875,4297.78466796875,121.74691009521484,1631.5836181640625,5152.76904296875,2443.1494140625,6922.431640625,2658.4013671875,316.6166687011719,405.88458251953125,1884.8424072265625,1444.1739501953125,5933.33251953125,6964.72998046875,938.2837524414062,299.4519958496094,1485.4046630859375,1925.236328125,2134.927001953125,1429.131103515625,616.2457275390625,1670.1881103515625,628.7696533203125,4945.19189453125,7.6361165046691895,2177.17529296875,759.55908203125,5162.40185546875,152.52325439453125,795.0,3499.547119140625,842.8775024414062,243.3703155517578,57.47441482543945,4545.4267578125,1450.8629150390625,268.6846008300781,2108.939208984375,226.72491455078125,259.01190185546875,756.6705932617188,3917.264892578125,5323.41015625,1071.0,637.34375,1701.53271484375,2139.412353515625,915.0361328125,6563.73388671875,224.94862365722656,2330.473876953125,2381.280029296875,1700.1761474609375,3409.3544921875,483.8227233886719,991.4061279296875,587.7666015625,337.8013000488281,313.0932922363281,3000.813232421875,626.35107421875,640.02783203125,3125.029541015625,346.7247619628906,474.7192077636719,1580.4027099609375,559.5314331054688,1350.804443359375,1139.0758056640625,607.3173828125,1092.068603515625,1849.314453125,248.9584503173828,1160.7763671875,4281.4189453125,671.38134765625,159.9117431640625,1199.5987548828125,3899.50341796875
174,1473.7576904296875,2242.72509765625,1951.3597412109375,2343.283447265625,794.4009399414062,441.9540710449219,455.984130859375,5580.8583984375,582.3409423828125,167.21763610839844,3468.8369140625,500.9823913574219,1539.432373046875,3647.3095703125,591.2013549804688,2319.59619140625,502.60302734375,2243.065185546875,200.86215209960938,2472.91162109375,4345.00244140625,122.51883697509766,1615.1907958984375,5156.7080078125,2461.892333984375,6912.7158203125,2647.73681640625,311.8265380859375,406.35467529296875,1901.977294921875,1428.9866943359375,5918.060546875,6877.55029296875,915.5565185546875,297.11968994140625,1483.1798095703125,1930.147705078125,2124.218505859375,1425.1805419921875,611.1595458984375,1656.4820556640625,624.7039794921875,4957.5068359375,7.6361165046691895,2160.39501953125,759.55908203125,5105.88671875,151.78260803222656,787.0,3440.72314453125,854.7041625976562,242.15017700195312,57.16241455078125,4582.01171875,1493.3095703125,267.1899108886719,2089.766845703125,225.0770721435547,256.5528869628906,749.813720703125,3945.046875,5313.80517578125,1062.5,634.6336059570312,1687.5103759765625,2123.07421875,916.4044799804688,6505.4501953125,224.0356903076172,2307.2919921875,2353.0830078125,1691.3896484375,3372.70947265625,481.5636901855469,996.3092651367188,579.84619140625,331.9720458984375,312.06341552734375,2961.51806640625,620.7723388671875,644.8897705078125,3071.86962890625,335.8890686035156,477.3368225097656,1577.9749755859375,555.5560302734375,1340.0758056640625,1129.143310546875,597.916748046875,1082.2216796875,1849.783447265625,240.95550537109375,1154.3829345703125,4248.96875,681.6614379882812,157.8489532470703,1195.9105224609375,3872.322265625
175,1454.1888427734375,2234.02490234375,1960.7459716796875,2333.507568359375,786.0025634765625,446.7685852050781,454.7785339355469,5600.75927734375,576.6871948242188,164.32376098632812,3415.950439453125,504.3135986328125,1512.204833984375,3637.382080078125,584.2005615234375,2316.68701171875,504.3248596191406,2240.15185546875,196.84579467773438,2460.75732421875,4288.52587890625,123.2049560546875,1613.26220703125,5107.501953125,2440.337890625,6810.70068359375,2636.58740234375,312.1083068847656,399.7728271484375,1894.6337890625,1406.8961181640625,5938.10498046875,6804.900390625,887.7351684570312,295.3361511230469,1474.6514892578125,1948.319580078125,2137.84765625,1419.254638671875,602.3253784179688,1662.35595703125,613.7442626953125,4953.70263671875,7.6361165046691895,2147.516845703125,745.9434204101562,5082.50048828125,150.02362060546875,781.0,3434.937255859375,840.148193359375,240.83621215820312,56.632957458496094,4595.8544921875,1472.935791015625,265.080322265625,2058.1328125,220.90895080566406,256.8904113769531,749.443115234375,3925.20263671875,5277.3037109375,1080.5,638.2471923828125,1680.740966796875,2122.214599609375,911.322021484375,6435.50927734375,222.66627502441406,2315.47412109375,2360.35986328125,1685.0439453125,3336.516845703125,484.7066650390625,996.799560546875,580.0304565429688,327.42718505859375,309.4417724609375,2945.224853515625,620.9646606445312,643.722900390625,3007.31884765625,334.41632080078125,470.7928466796875,1575.54736328125,557.24560546875,1333.248779296875,1131.8521728515625,589.5399780273438,1078.8763427734375,1859.6326904296875,235.94163513183594,1141.1968994140625,4232.2666015625,690.4461059570312,152.90191650390625,1178.3916015625,3902.41552734375
176,1422.9893798828125,2212.757568359375,1952.2984619140625,2309.06787109375,768.8242797851562,441.2662353515625,449.7707824707031,5491.77734375,571.0333251953125,161.9275665283203,3364.4189453125,501.53759765625,1491.8753662109375,3616.53466796875,585.4901733398438,2325.41455078125,495.9874572753906,2171.209228515625,196.16888427734375,2466.366943359375,4287.60009765625,122.90477752685547,1599.280029296875,5018.92919921875,2392.543212890625,6757.26416015625,2612.349853515625,310.79339599609375,389.82159423828125,1879.9466552734375,1403.674560546875,5899.923828125,6795.21337890625,878.9185791015625,286.7842712402344,1446.4713134765625,1937.0235595703125,2141.741943359375,1414.3162841796875,596.8821411132812,1649.6290283203125,610.5623779296875,4907.259765625,7.6361165046691895,2141.6630859375,741.4696655273438,5002.59912109375,148.72752380371094,766.5999755859375,3371.29150390625,833.780029296875,238.677490234375,56.06568145751953,4572.12353515625,1476.8980712890625,265.1683044433594,2056.2158203125,216.0623321533203,253.8528594970703,750.5549926757812,3893.451904296875,5283.0673828125,1072.5,641.4090576171875,1677.83984375,2092.118408203125,896.6611328125,6371.3974609375,220.29263305664062,2274.10986328125,2310.78759765625,1669.423583984375,3310.7294921875,483.28253173828125,985.5224609375,581.6881103515625,321.1039123535156,303.543212890625,2947.141845703125,572.6803588867188,640.02783203125,2971.246337890625,333.3642578125,461.8182067871094,1564.8656005859375,556.0529174804688,1323.9832763671875,1131.4007568359375,583.6761474609375,1078.3997802734375,1876.9862060546875,237.67721557617188,1136.4019775390625,4191.705078125,693.0628662109375,150.1454315185547,1178.8525390625,4461.56787109375
177,1450.1273193359375,2208.890869140625,1987.9654541015625,2346.21630859375,772.8325805664062,443.8208923339844,456.7259826660156,5580.8583984375,578.19482421875,163.60488891601562,3371.19970703125,505.609130859375,1512.9310302734375,3643.338623046875,579.4105224609375,2331.23291015625,501.7873840332031,2190.6298828125,200.59136962890625,2487.87060546875,4320.9306640625,124.87743377685547,1617.6015625,5079.9404296875,2418.783447265625,6844.7060546875,2632.224853515625,314.36248779296875,398.5191345214844,1891.6964111328125,1415.64013671875,5980.1044921875,6877.55029296875,871.6693725585938,289.71112060546875,1468.904296875,1980.2430419921875,2168.02685546875,1425.1805419921875,602.1468505859375,1668.2301025390625,618.69384765625,4933.06494140625,852.0595092773438,2142.444091796875,751.5841674804688,5039.626953125,149.56072998046875,776.2000122070312,3409.8642578125,829.2312622070312,241.1177520751953,56.368228912353516,4617.60791015625,1507.448974609375,267.54180908203125,2080.1806640625,216.93475341796875,255.73326110839844,751.1109619140625,3923.21826171875,5329.173828125,1074.0,645.4743041992188,1691.8621826171875,2096.417724609375,907.4124755859375,6434.5380859375,221.66204833984375,2317.292236328125,2360.35986328125,1684.067626953125,3302.586181640625,484.11737060546875,989.9351806640625,587.2139892578125,323.0799560546875,305.415771484375,2955.767333984375,580.3750610351562,639.2499389648438,3066.174072265625,341.359375,460.6029357910156,1571.177490234375,564.7987060546875,1343.0018310546875,1139.0758056640625,594.007568359375,1087.4539794921875,1848.845458984375,236.2309112548828,1119.219970703125,4216.99658203125,679.4183959960938,152.00741577148438,1177.0084228515625,4447.00634765625
178,1428.71240234375,2168.289794921875,1967.316162109375,2353.0595703125,758.1356201171875,424.36627197265625,454.9640197753906,5496.51513671875,571.0333251953125,166.83056640625,3383.8564453125,495.6153564453125,1483.8885498046875,3484.5009765625,577.0155029296875,2341.89990234375,501.06243896484375,2136.252685546875,198.8765411376953,2486.000732421875,4307.96826171875,122.81901550292969,1611.33349609375,4971.69287109375,2403.7890625,6762.12255859375,2636.58740234375,310.0419921875,389.1163635253906,1878.4779052734375,1388.0269775390625,5961.013671875,6795.21337890625,852.6646728515625,284.45196533203125,1456.8533935546875,1974.349609375,2146.609619140625,1412.341064453125,604.3776245117188,1675.0831298828125,614.9816284179688,4872.1708984375,7.6361165046691895,2126.83349609375,747.304931640625,5002.59912109375,149.05154418945312,753.4000244140625,3364.541015625,827.8667602539062,239.33448791503906,57.05841064453125,4628.484375,1489.3475341796875,262.3548583984375,2061.008544921875,218.00099182128906,254.7689666748047,748.8871459960938,3843.841064453125,5238.88134765625,1071.0,638.2471923828125,1670.5870361328125,2027.6263427734375,896.2702026367188,6339.34130859375,225.03993225097656,2305.473876953125,2345.806396484375,1683.09130859375,3233.81982421875,481.26904296875,980.6192626953125,582.0565185546875,320.9062805175781,303.2623291015625,2921.264404296875,568.2557983398438,637.8886108398438,3037.695556640625,338.8345642089844,461.163818359375,1573.605224609375,557.0468139648438,1339.588134765625,1143.13916015625,589.1676025390625,1082.212158203125,1826.8018798828125,234.7845916748047,1125.61328125,4158.3017578125,668.203857421875,149.962890625,1103.2435302734375,4562.525390625
