,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BHP.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CCL.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DLG.L,EVR.L,EXPN.L,EZJ.L,FERG.L,FLTR.L,FRES.L,GLEN.L,GSK.L,HIK.L,HL.L,HLMA.L,HSBA.L,HSX.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JE.L,JMAT.L,LAND.L,LGEN.L,LLOY.L,LSE.L,MCRO.L,MKS.L,MNDI.L,MRO.L,MRW.L,NG.L,NMC.L,NXT.L,OCDO.L,PHNX.L,PRU.L,PSN.L,PSON.L,RB.L,RBS.L,RDSA.L,RDSB.L,REL.L,RIO.L,RMV.L,RR.L,RSA.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SLA.L,SMDS.L,SMIN.L,SMT.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TUI.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
0,962.5839233398438,2565.98583984375,1605.9112548828125,1452.915771484375,598.614990234375,371.6087341308594,396.853515625,3736.49267578125,531.1305541992188,197.43426513671875,3762.130859375,404.8255615234375,1079.110595703125,2542.1826171875,525.7131958007812,1951.9913330078125,399.3207702636719,1368.1279296875,300.19464111328125,1497.50927734375,3549.255126953125,175.37649536132812,1374.4501953125,3013.2666015625,2424.57763671875,5584.7197265625,1913.894287109375,302.9694519042969,133.63333129882812,1428.4388427734375,877.2634887695312,4757.4873046875,7931.666015625,1046.3917236328125,236.57431030273438,1292.55908203125,1744.138427734375,1172.1522216796875,910.1589965820312,532.5111694335938,921.71435546875,377.48223876953125,3573.47216796875,625.3953857421875,2529.9560546875,625.9352416992188,3187.22119140625,172.15115356445312,575.5,2870.9150390625,938.8578491210938,201.3233184814453,54.04855728149414,2688.5341796875,2466.83447265625,280.626220703125,1377.0242919921875,168.5760498046875,210.67971801757812,876.3656616210938,1517.7298583984375,4458.9755859375,253.0,501.525634765625,1394.6468505859375,1277.0936279296875,721.0333251953125,6288.78125,194.6398468017578,1793.7626953125,1885.21826171875,1314.5859375,2472.31982421875,296.5450134277344,651.1900024414062,496.13671875,212.47415161132812,218.30984497070312,2576.3486328125,600.7431030273438,371.79876708984375,1680.5841064453125,320.7109680175781,337.1663818359375,1321.5638427734375,311.7872009277344,1105.55810546875,1200.3150634765625,609.3093872070312,875.6195678710938,1948.9200439453125,192.44371032714844,772.3253173828125,2905.90576171875,771.6356811523438,166.12844848632812,1533.0452880859375,3368.8466796875
1,971.5721435546875,2544.159912109375,1602.33056640625,1477.5416259765625,603.5921630859375,372.7547607421875,400.359619140625,3760.80322265625,532.9114379882812,202.41343688964844,3765.850341796875,409.9165954589844,1088.3697509765625,2548.49560546875,526.54296875,1944.480224609375,402.8193054199219,1367.199951171875,297.5677490234375,1493.0203857421875,3656.888916015625,175.8336181640625,1378.2919921875,2976.6259765625,2439.883056640625,5589.44921875,1913.4332275390625,303.7326354980469,136.770263671875,1420.906005859375,872.1729736328125,4749.7470703125,7917.85498046875,1024.787841796875,240.32034301757812,1295.9315185546875,1704.7757568359375,1178.7906494140625,879.322509765625,530.0833129882812,925.4688110351562,375.5727844238281,3590.71044921875,629.4978637695312,2512.86669921875,625.0166625976562,3173.90966796875,171.204345703125,567.5,2878.3193359375,947.958251953125,204.00094604492188,55.24964141845703,2710.7060546875,2449.664306640625,284.0472412109375,1382.2535400390625,169.47752380371094,211.05014038085938,875.2452392578125,1500.0247802734375,4502.52197265625,256.20001220703125,499.77459716796875,1423.7017822265625,1288.2310791015625,725.4165649414062,6262.86328125,197.43162536621094,1799.0623779296875,1905.67041015625,1317.375,2507.580810546875,294.8843688964844,654.0927734375,497.8899230957031,210.83973693847656,219.1905059814453,2599.8095703125,599.3641357421875,372.973388671875,1686.8349609375,322.4851379394531,335.0052185058594,1314.076171875,313.1885070800781,1103.6986083984375,1208.20654296875,608.4857177734375,876.945556640625,1941.8780517578125,194.67919921875,776.4517211914062,2929.83203125,768.6113891601562,164.97903442382812,1541.6484375,3390.27490234375
2,971.14404296875,2548.904541015625,1598.7501220703125,1497.4315185546875,610.379150390625,368.6480407714844,399.35791015625,3744.306640625,530.6854248046875,203.39151000976562,3769.569580078125,412.9009704589844,1087.1070556640625,2547.59375,527.7877197265625,1939.78564453125,404.1617736816406,1365.3433837890625,300.07342529296875,1511.8740234375,3649.83056640625,175.07174682617188,1386.9364013671875,2950.328369140625,2444.384765625,5542.1611328125,1923.57666015625,304.9197692871094,135.9546661376953,1435.971923828125,872.1729736328125,4775.85546875,7839.59716796875,1026.66650390625,239.43894958496094,1288.34326171875,1681.345703125,1143.701904296875,875.4679565429688,530.4879760742188,928.28466796875,373.91241455078125,3567.384765625,621.748779296875,2497.201416015625,618.58740234375,3154.892822265625,172.15115356445312,555.0,2895.90380859375,953.4166259765625,205.4234161376953,55.543426513671875,2710.7060546875,2454.24072265625,281.42156982421875,1382.2535400390625,169.25216674804688,211.79098510742188,872.166015625,1508.8773193359375,4473.4912109375,256.0,501.87615966796875,1424.14892578125,1297.1412353515625,722.7865600585938,6242.4990234375,199.26373291015625,1791.7242431640625,1900.3526611328125,1318.3048095703125,2522.171630859375,294.0935974121094,662.8011474609375,499.6429748535156,211.22430419921875,218.48599243164062,2577.217529296875,601.2027587890625,371.8829650878906,1692.192626953125,321.7757568359375,335.0052185058594,1321.5638427734375,310.97222900390625,1099.04931640625,1208.20654296875,610.5908203125,872.9674072265625,1940.1173095703125,194.2987060546875,766.8234252929688,2919.900390625,766.883056640625,163.8707275390625,1541.6484375,3367.915283203125
3,963.8680419921875,2566.934814453125,1602.33056640625,1497.4315185546875,608.1168212890625,377.2434387207031,402.196044921875,3770.354248046875,528.0140991210938,201.83551025390625,3757.998291015625,417.81646728515625,1069.4306640625,2576.45166015625,527.7877197265625,1957.625,409.246826171875,1376.0941162109375,299.8309326171875,1530.7274169921875,3645.4189453125,174.9955596923828,1399.422607421875,2967.236572265625,2448.886474609375,5740.7705078125,1922.193359375,308.3115234375,140.47183227539062,1454.8043212890625,870.4761962890625,4771.98974609375,8042.1474609375,1055.7850341796875,239.74746704101562,1302.25537109375,1699.1524658203125,1152.2369384765625,880.76806640625,530.2451782226562,945.1796264648438,374.3275146484375,3607.94873046875,626.3070068359375,2492.928955078125,617.209716796875,3246.173583984375,175.4220428466797,569.0,2934.775146484375,954.3207397460938,206.0091552734375,55.30147933959961,2727.09375,2455.384765625,282.4565734863281,1396.1981201171875,171.0550994873047,212.90223693847656,871.0454711914062,1508.8773193359375,4489.82080078125,257.8999938964844,507.47967529296875,1433.9830322265625,1309.02099609375,717.965087890625,6308.21923828125,198.91476440429688,1804.7698974609375,1900.7613525390625,1332.2501220703125,2497.4482421875,305.0855407714844,660.3822021484375,502.7109375,211.7050323486328,219.01438903808594,2578.95556640625,602.5816650390625,372.4698486328125,1688.6207275390625,324.7023010253906,337.66485595703125,1321.5638427734375,311.290283203125,1115.7860107421875,1212.1522216796875,607.5704345703125,878.2715454101562,1944.518798828125,193.77549743652344,783.3291015625,2944.729248046875,768.6113891601562,163.9938507080078,1549.3909912109375,3450.831787109375
4,963.43994140625,2561.2412109375,1610.386962890625,1484.17138671875,611.2841186523438,386.698486328125,400.9439392089844,3826.35595703125,528.4593505859375,200.0127716064453,3767.50390625,411.9354248046875,1058.488037109375,2571.9423828125,531.9369506835938,1960.441650390625,409.246826171875,1367.6807861328125,299.3459777832031,1540.6031494140625,3658.6533203125,175.6050567626953,1398.4620361328125,2958.7822265625,2461.490966796875,5726.58447265625,1933.7200927734375,311.8728942871094,141.22471618652344,1462.3372802734375,878.1119384765625,4775.85546875,8009.92333984375,1044.51318359375,238.5574951171875,1306.049560546875,1696.3409423828125,1156.978759765625,869.68603515625,523.2045288085938,944.240966796875,379.5577087402344,3651.548583984375,633.6002197265625,2519.987548828125,616.75048828125,3230.009765625,175.16380310058594,572.5,2918.1162109375,973.4251708984375,206.67855834960938,55.12866973876953,2741.553466796875,2467.987548828125,280.06890869140625,1398.8126220703125,171.28045654296875,212.71705627441406,887.6563110351562,1509.861083984375,4465.326171875,255.0,510.9817810058594,1434.8770751953125,1310.506103515625,716.2117919921875,6304.51611328125,201.6193084716797,1804.7698974609375,1898.716552734375,1336.8984375,2483.668212890625,309.4348449707031,658.4469604492188,505.7789611816406,212.08958435058594,219.01438903808594,2593.726806640625,601.2027587890625,381.3601379394531,1677.0120849609375,323.0167236328125,335.0052185058594,1322.499755859375,313.26800537109375,1118.5755615234375,1226.3570556640625,605.5567626953125,882.691650390625,1961.2440185546875,195.82073974609375,789.5186767578125,2954.66064453125,777.684326171875,164.650634765625,1544.22900390625,3504.867431640625
5,997.6803588867188,2580.220458984375,1609.4918212890625,1523.951416015625,620.3334350585938,387.36700439453125,404.03265380859375,3835.037841796875,533.3566284179688,199.83494567871094,3774.942626953125,408.1610412597656,1103.94189453125,2540.379150390625,516.584716796875,1960.441650390625,414.0471496582031,1388.247314453125,297.4869079589844,1538.8074951171875,3656.888916015625,176.3668975830078,1411.908935546875,2968.171630859375,2480.397705078125,5764.41455078125,1924.9600830078125,307.3787536621094,139.59352111816406,1481.169921875,860.295166015625,4799.0595703125,8092.78369140625,1098.9932861328125,244.06642150878906,1308.157470703125,1707.58740234375,1145.5985107421875,875.4679565429688,528.3839721679688,947.056884765625,369.097412109375,3617.071533203125,634.05615234375,2511.798583984375,617.6689453125,3262.337890625,174.561279296875,583.5,2936.62646484375,945.2288208007812,205.9254913330078,54.91264724731445,2755.04931640625,2482.869140625,279.5920104980469,1447.6185302734375,174.6610107421875,212.3466339111328,881.7801513671875,1508.8773193359375,4468.955078125,260.3999938964844,507.83026123046875,1439.7943115234375,1294.9136962890625,714.0203247070312,6346.17041015625,196.55918884277344,1821.0765380859375,1918.349853515625,1339.6876220703125,2566.754150390625,310.462890625,664.2525024414062,505.34063720703125,212.1857147216797,218.39793395996094,2591.989013671875,602.5816650390625,376.830810546875,1695.7645263671875,327.45184326171875,339.49371337890625,1343.090576171875,315.80230712890625,1128.8037109375,1221.6221923828125,603.8177490234375,884.9016723632812,1947.1595458984375,194.44139099121094,781.265869140625,2959.62646484375,772.499755859375,163.70648193359375,1563.15576171875,3489.029541015625
6,993.8283081054688,2590.65869140625,1622.0240478515625,1488.9071044921875,612.1890869140625,391.3782043457031,405.3682556152344,3843.720703125,529.7950439453125,197.7010040283203,3799.32666015625,407.1955261230469,1095.103759765625,2543.986328125,521.5637817382812,1959.502685546875,415.9184875488281,1387.3123779296875,303.834716796875,1554.9676513671875,3630.421142578125,177.50967407226562,1421.513671875,2988.839599609375,2504.70654296875,5764.41455078125,1937.4085693359375,311.3641052246094,137.3976593017578,1493.0694580078125,850.1141357421875,4792.298828125,8028.33740234375,1149.716064453125,242.8324432373047,1317.43212890625,1740.3896484375,1152.2369384765625,877.7264404296875,526.1988525390625,952.6885375976562,368.0181884765625,3633.295166015625,634.9677734375,2527.10791015625,624.0982666015625,3263.288818359375,175.5941925048828,583.5,2941.253662109375,954.3207397460938,208.10104370117188,54.24729919433594,2752.156982421875,2477.14892578125,279.3531799316406,1451.104736328125,176.46397399902344,212.994873046875,885.6033325195312,1556.09130859375,4485.28515625,257.0,514.1341552734375,1443.8170166015625,1296.3988037109375,717.5267333984375,6349.87255859375,195.16329956054688,1831.67626953125,1928.984619140625,1345.2657470703125,2553.37939453125,311.7281494140625,656.0280151367188,507.97039794921875,213.05099487304688,220.15921020507812,2590.25146484375,605.3395385742188,380.7732238769531,1685.9417724609375,327.9842224121094,339.57684326171875,1320.6278076171875,315.9215393066406,1126.0142822265625,1233.45947265625,596.5868530273438,887.5537719726562,1969.1666259765625,196.3439483642578,785.3922119140625,2970.009765625,784.1651000976562,164.52749633789062,1551.971923828125,3478.78125
7,992.9723510742188,2604.893310546875,1635.4515380859375,1496.484375,610.8316040039062,390.61419677734375,406.0361022949219,3852.837158203125,526.6785888671875,198.67904663085938,3819.990234375,405.8788146972656,1099.733154296875,2532.26318359375,522.393798828125,1980.1585693359375,414.6166687011719,1399.46533203125,300.5174865722656,1589.0836181640625,3639.243408203125,178.34768676757812,1441.683837890625,3001.988037109375,2547.922119140625,5712.39794921875,1945.7080078125,313.2296142578125,139.1543426513672,1492.12158203125,852.659423828125,4798.09716796875,8078.974609375,1146.8980712890625,244.4630584716797,1317.010498046875,1774.1287841796875,1150.3402099609375,869.9718017578125,531.6210327148438,954.565673828125,366.02569580078125,3689.0693359375,641.8051147460938,2522.4794921875,624.5575561523438,3309.880126953125,177.66000366210938,583.5,2944.95556640625,969.7920532226562,207.1806182861328,54.01399612426758,2809.03173828125,2495.47216796875,278.47821044921875,1451.976318359375,178.2669219970703,213.6431121826172,887.9384765625,1518.713623046875,4520.66650390625,264.1000061035156,514.8343505859375,1454.9923095703125,1318.6734619140625,717.5267333984375,6373.93994140625,195.94850158691406,1828.415283203125,1925.7125244140625,1347.125244140625,2560.26953125,308.64404296875,646.3521118164062,513.6680297851562,213.62783813476562,219.54275512695312,2605.023193359375,602.1220092773438,384.2121887207031,1682.369873046875,329.93524169921875,339.2444763183594,1325.3076171875,311.60833740234375,1135.3125,1225.5679931640625,607.3872680664062,896.3939208984375,1955.962158203125,196.77203369140625,799.8347778320312,2972.71875,778.5484008789062,164.07594299316406,1562.29541015625,3517.91064453125
8,994.684326171875,2572.62841796875,1647.983642578125,1512.585693359375,624.4057006835938,392.14227294921875,411.79608154296875,3854.1396484375,526.2333374023438,206.1923065185547,3812.13818359375,408.1610412597656,1120.3558349609375,2556.612060546875,520.7341918945312,1993.30322265625,420.8815002441406,1402.27001953125,304.2442626953125,1591.777099609375,3617.187255859375,179.41427612304688,1417.6717529296875,3036.7490234375,2485.800048828125,5877.90625,1935.564453125,316.1973876953125,138.58969116210938,1503.497314453125,839.5089111328125,4794.2314453125,8078.974609375,1189.1671142578125,251.5585174560547,1317.010498046875,1770.380126953125,1208.1893310546875,859.3092041015625,538.8237915039062,960.1974487304688,369.51251220703125,3735.712158203125,649.0984497070312,2516.427001953125,626.3943481445312,3311.78173828125,179.03720092773438,579.0,2948.657470703125,949.77490234375,208.35205078125,55.83721923828125,2795.5361328125,2464.546142578125,274.1017761230469,1445.87548828125,178.49229431152344,213.73570251464844,879.5390014648438,1528.5498046875,4327.42919921875,262.1000061035156,529.8941040039062,1464.3792724609375,1306.7935791015625,715.3352661132812,6279.5244140625,201.53207397460938,1839.42236328125,1940.0283203125,1345.2657470703125,2542.436767578125,311.96539306640625,648.2872924804688,504.9023742675781,213.91627502441406,222.27273559570312,2642.386474609375,598.4449462890625,379.9346008300781,1693.085693359375,335.9659729003906,344.73095703125,1322.499755859375,320.01617431640625,1126.9439697265625,1227.146240234375,620.3844604492188,915.8423461914062,1955.962158203125,196.1061248779297,797.0838012695312,2956.918212890625,776.3882446289062,166.1694793701172,1570.0380859375,3522.56884765625
9,977.9922485351562,2476.78369140625,1637.24169921875,1507.8499755859375,625.7630615234375,389.3725891113281,411.4621276855469,3886.69873046875,520.8908081054688,208.94866943359375,3795.193115234375,424.7508239746094,1105.2047119140625,2553.0048828125,519.9041137695312,1966.0751953125,422.50872802734375,1373.2896728515625,311.6977844238281,1599.8570556640625,3644.537109375,177.4334716796875,1414.790283203125,3041.44384765625,2479.497314453125,5892.0927734375,1958.617919921875,316.2821960449219,136.770263671875,1497.8094482421875,856.0531005859375,4816.46484375,8074.3720703125,1234.25390625,249.31094360351562,1325.0205078125,1756.3221435546875,1212.930908203125,866.5791625976562,542.3035888671875,964.890380859375,372.83319091796875,3761.067626953125,653.6566772460938,2519.630859375,620.4243774414062,3296.568115234375,173.35621643066406,570.5,2939.402587890625,950.6875,211.02969360351562,55.966827392578125,2809.995361328125,2450.808349609375,257.3134765625,1440.6463623046875,176.0132293701172,214.75437927246094,872.4483032226562,1573.79638671875,3705.98486328125,260.3999938964844,528.4935913085938,1467.955322265625,1343.9183349609375,704.8155517578125,6248.052734375,204.4983367919922,1854.9136962890625,1942.891845703125,1335.9688720703125,2520.955322265625,309.4348449707031,645.8682861328125,504.9023742675781,211.3204345703125,222.27273559570312,2624.13916015625,600.2835083007812,385.553466796875,1714.51708984375,335.5228271484375,343.73388671875,1323.4356689453125,319.8174133300781,1126.0142822265625,1212.1522216796875,625.3270874023438,925.5665893554688,1936.5963134765625,195.48779296875,802.5856323242188,2968.203857421875,769.9075317382812,168.87876892089844,1558.854248046875,3568.219970703125
