,INFY.BO,YESBANK.BO,SUNPHARMA.BO,MARUTI.BO,KOTAKBANK.BO,INDUSINDBK.BO,AXISBANK.BO,RELIANCE.BO,TCS.BO,LT.BO,SBIN.BO,HDFC.BO,ICICIBANK.BO,TATASTEEL.BO,HDFCBANK.BO,ITC.BO,TATAMOTORS.BO,VEDL.BO,HINDUNILVR.BO,ADANIPORTS.BO,M&M.BO,BAJAJ-AUTO.BO,ASIANPAINT.BO,WIPRO.BO,HEROMOTOCO.BO,NTPC.BO,COALINDIA.BO,POWERGRID.BO,TATAMTRDVR.BO
432,708.0069580078125,306.0452575683594,639.0975952148438,8385.0908203125,1230.9365234375,1815.6043701171875,634.76171875,1245.802734375,1989.988525390625,1315.177490234375,285.45001220703125,1845.82470703125,321.529296875,590.080810546875,1000.7616577148438,300.7273864746094,262.6499938964844,197.8213348388672,1598.7841796875,371.84197998046875,924.15966796875,2687.91259765625,1274.259033203125,244.575439453125,2943.74853515625,133.56214904785156,244.37103271484375,178.6206817626953,142.4499969482422
433,700.8573608398438,314.46405029296875,654.0953369140625,8514.041015625,1236.8333740234375,1863.75,635.4608764648438,1245.9022216796875,2009.0244140625,1323.014892578125,290.3999938964844,1893.953857421875,326.5547180175781,599.679931640625,1006.0966186523438,301.1689453125,266.45001220703125,208.209716796875,1600.9447021484375,375.6972961425781,937.4246826171875,2694.419189453125,1312.9776611328125,245.69171142578125,2964.913330078125,137.57139587402344,240.89614868164062,185.0,144.10000610351562
434,692.6113891601562,310.0843200683594,637.37548828125,8416.05859375,1229.237548828125,1867.4306640625,625.2734985351562,1219.4984130859375,2017.106201171875,1308.751708984375,285.6000061035156,1847.102783203125,323.86785888671875,599.9723510742188,987.8756103515625,296.2140197753906,260.20001220703125,207.4582061767578,1575.3123779296875,377.0812683105469,934.1700439453125,2674.712890625,1287.6256103515625,244.94752502441406,2913.977783203125,135.6846923828125,238.72434997558594,186.2943572998047,141.0
435,685.55712890625,314.5126953125,633.5777587890625,8284.494140625,1215.5948486328125,1851.663818359375,607.6953735351562,1210.4981689453125,2015.5482177734375,1293.6123046875,274.0,1825.0291748046875,317.1506652832031,596.8538208007812,988.3218383789062,296.9008483886719,251.4499969482422,203.43548583984375,1636.2998046875,373.2259216308594,934.2686767578125,2598.6962890625,1273.6673583984375,247.44003295898438,2894.859375,133.40557861328125,237.5515899658203,183.65940856933594,137.5500030517578
436,686.7487182617188,309.98699951171875,638.5098266601562,8094.05224609375,1226.339111328125,1795.11279296875,608.4444580078125,1203.63623046875,2022.2664794921875,1297.068603515625,271.3999938964844,1800.4483642578125,319.2901916503906,604.6500854492188,972.75341796875,294.00640869140625,252.6999969482422,203.34706115722656,1619.3587646484375,368.67864990234375,934.2686767578125,2616.85791015625,1271.8917236328125,247.6265869140625,2923.420654296875,132.93389892578125,243.71949768066406,183.1971435546875,137.0500030517578
437,673.307373046875,220.98130798339844,626.8701171875,7928.90673828125,1179.0146484375,1752.438232421875,598.6566162109375,1210.150146484375,2048.459228515625,1296.581787109375,270.04998779296875,1804.4796142578125,316.2550048828125,608.6456909179688,976.1744995117188,298.0292053222656,250.1999969482422,203.0818328857422,1592.59716796875,357.8540344238281,944.0325317382812,2617.185546875,1285.4554443359375,251.0498046875,2945.1435546875,131.5575408935547,239.46275329589844,185.0924530029297,131.85000610351562
438,683.7935180664062,220.2026824951172,615.2304077148438,7688.56103515625,1148.7808837890625,1665.845947265625,596.8088989257812,1225.51513671875,2140.862548828125,1283.58447265625,264.54998779296875,1692.1942138671875,307.2490234375,591.1527709960938,955.0530395507812,292.28936767578125,240.25,203.03761291503906,1562.49609375,341.7901611328125,883.0826416015625,2580.39453125,1248.7098388671875,247.5144500732422,2889.23095703125,132.3046875,244.50135803222656,183.47451782226562,128.0500030517578
439,692.563720703125,213.9737548828125,631.1116943359375,7893.15576171875,1181.863037109375,1684.198974609375,614.4869384765625,1223.8243408203125,2125.67333984375,1284.0224609375,270.25,1742.0443115234375,308.6422119140625,584.672119140625,967.67138671875,295.3800354003906,240.89999389648438,203.96592712402344,1605.0205078125,334.8208923339844,881.1594848632812,2609.97705078125,1273.469970703125,245.20748901367188,2891.1845703125,133.48387145996094,239.07186889648438,177.83485412597656,127.5
440,684.2700805664062,217.67218017578125,631.1610107421875,7736.4423828125,1169.119873046875,1691.6595458984375,615.1361694335938,1244.85791015625,2085.11865234375,1297.5067138671875,264.0,1736.587158203125,310.9808044433594,593.5404052734375,975.4307861328125,287.4816589355469,233.3000030517578,213.55862426757812,1581.8431396484375,334.4254455566406,878.69384765625,2598.509033203125,1263.2108154296875,238.0633544921875,2888.207763671875,131.8330078125,236.72630310058594,178.435791015625,123.30000305175781
441,690.3235473632812,197.76878356933594,621.14892578125,7452.060546875,1143.83349609375,1670.62060546875,597.9574584960938,1246.001708984375,2130.249267578125,1274.0919189453125,265.0,1700.69921875,305.15924072265625,594.3687744140625,980.6863403320312,287.7269592285156,225.5500030517578,212.5418701171875,1589.8470458984375,330.8172607421875,864.0974731445312,2604.875244140625,1269.1788330078125,238.58428955078125,2876.20654296875,131.7547149658203,240.02743530273438,180.09996032714844,118.75
442,693.8506469726562,178.5466766357422,614.8851318359375,7249.38916015625,1142.884033203125,1678.1807861328125,611.5905151367188,1251.2724609375,2127.0361328125,1233.200927734375,265.0,1726.0667724609375,303.51727294921875,565.5712280273438,994.42529296875,291.1119689941406,223.4499969482422,204.89427185058594,1578.847900390625,324.68829345703125,848.8599853515625,2515.565185546875,1276.528076171875,241.26332092285156,2727.865234375,130.96795654296875,231.81805419921875,174.22914123535156,116.5
443,709.6753540039062,195.82223510742188,622.1353149414062,7362.5595703125,1123.84423828125,1634.8597412109375,593.21337890625,1224.769287109375,2196.46044921875,1214.5079345703125,273.04998779296875,1773.16357421875,312.6227722167969,568.6410522460938,1009.63671875,291.1119689941406,229.25,205.91098022460938,1613.417236328125,326.71478271484375,835.940185546875,2555.492431640625,1261.287109375,246.21263122558594,2765.357666015625,132.97256469726562,236.76971435546875,177.7423858642578,121.0
