,INFY.BO,YESBANK.BO,SUNPHARMA.BO,MARUTI.BO,KOTAKBANK.BO,INDUSINDBK.BO,AXISBANK.BO,RELIANCE.BO,TCS.BO,LT.BO,SBIN.BO,HDFC.BO,ICICIBANK.BO,TATASTEEL.BO,HDFCBANK.BO,ITC.BO,TATAMOTORS.BO,VEDL.BO,HINDUNILVR.BO,ADANIPORTS.BO,M&M.BO,BHARTIARTL.BO,BAJAJ-AUTO.BO,ASIANPAINT.BO,WIPRO.BO,HEROMOTOCO.BO,NTPC.BO,COALINDIA.BO,ONGC.BO,POWERGRID.BO,TATAMTRDVR.BO
468,676.0,216.0,582.400024,7135.450195,1135.099976,1483.25,607.099976,1110.550049,1938.644531,1366.449951,286.649994,1815.300049,356.0,580.450012,1958.449951,280.149994,195.100006,209.94999700000002,1640.050049,326.600006,793.5,305.950012,2693.0,1250.849976,324.483765,2889.949951,155.0,259.19760099999996,157.149994,188.949997,105.900002
469,661.450012,227.850006,595.900024,7265.5,1137.849976,1496.849976,612.599976,1093.349976,1905.71521,1366.699951,283.0,1816.9000239999998,355.799988,573.299988,1949.6500239999998,277.25,195.399994,208.850006,1672.550049,336.850006,796.700012,298.450012,2695.649902,1298.199951,323.98516800000004,2950.050049,154.300003,260.411316,156.449997,191.5,105.0
470,664.450012,222.75,589.549988,7073.899901999999,1155.900024,1491.650024,606.200012,1078.75,1911.8021239999998,1367.0,277.75,1795.050049,352.299988,582.900024,1923.3499760000002,273.850006,185.949997,203.449997,1653.849976,328.600006,780.299988,295.350006,2647.0,1275.550049,322.88824500000004,2837.5,152.800003,256.381805,156.0,186.0,100.599998
471,665.700012,225.600006,561.700012,7146.399901999999,1165.0,1484.400024,618.599976,1099.550049,1931.659546,1391.150024,278.149994,1824.050049,360.899994,589.150024,1929.199951,276.899994,179.800003,205.850006,1672.150024,334.0,791.150024,297.450012,2663.350098,1284.800049,325.131927,2873.449951,156.399994,257.692596,156.5,184.25,98.349998
472,653.450012,222.5,520.349976,7372.350098000001,1129.550049,1513.349976,612.75,1096.099976,1876.52771,1383.949951,283.700012,1838.449951,366.600006,588.950012,1958.449951,276.600006,176.800003,204.199997,1704.0999760000002,331.049988,770.400024,301.25,2681.699951,1319.900024,323.785736,2855.0,157.300003,257.88681,160.75,186.0,97.050003
473,656.349976,206.0,514.950012,7482.850098000001,1162.650024,1513.800049,625.650024,1096.900024,1861.5098879999998,1397.349976,285.299988,1852.199951,369.600006,588.650024,1974.050049,274.450012,179.949997,207.550003,1705.5999760000002,345.299988,765.799988,303.799988,2671.300049,1312.25,323.037872,2917.199951,153.899994,255.41084300000003,158.899994,187.199997,98.400002
474,650.450012,191.300003,519.599976,7332.049805,1167.5,1498.849976,618.299988,1127.5,1878.2239989999998,1396.0,290.299988,1887.550049,367.399994,574.099976,1998.9000239999998,276.25,179.399994,206.699997,1690.75,346.649994,767.349976,333.600006,2696.800049,1320.449951,325.032227,2954.550049,154.050003,255.799255,156.550003,187.949997,98.800003
475,651.799988,205.050003,530.549988,7417.600098000001,1174.199951,1537.75,615.150024,1149.599976,1897.981689,1416.050049,288.200012,1898.3499760000002,362.5,582.200012,2014.0,283.899994,184.300003,211.19999700000002,1701.3499760000002,349.799988,780.349976,336.700012,2683.050049,1311.900024,329.320099,2983.25,153.050003,255.944901,154.399994,189.699997,101.400002
476,641.099976,192.550003,525.5,7332.149901999999,1173.400024,1558.349976,612.849976,1138.650024,1873.733643,1412.699951,283.049988,1877.050049,358.0,563.5,2015.25,283.600006,183.300003,205.100006,1693.550049,354.149994,782.700012,331.75,2664.100098,1306.599976,320.794189,2958.350098,149.350006,253.808777,152.600006,188.0,99.949997
477,620.950012,198.0,531.150024,7415.799805,1176.849976,1547.050049,626.349976,1112.300049,1807.874878,1402.5,286.549988,1867.9000239999998,356.799988,552.549988,2019.550049,281.049988,184.149994,201.850006,1689.9000239999998,360.899994,769.0,331.75,2603.600098,1322.900024,313.16571,2920.050049,147.850006,253.37185699999998,151.75,182.850006,100.050003
