ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,0.000654,0.00579,0.000681,0.00563,0.0854,0.0925
0.0201,0.00016,0.000677,0.00579,0.000703,0.00561,0.0894,0.0969
0.0401,0.00016,0.000688,0.00579,0.000713,0.00561,0.0913,0.0987
0.0601,0.00016,0.000696,0.00578,0.000721,0.0056,0.0928,0.1
0.0801,0.00016,0.000703,0.00578,0.000729,0.0056,0.094,0.102
