Risk_aversion,Riskfree,Mark_u,Mark_sig,Box_u,Box_sig,Ellip_u,Ellip_sig,Sep_u,Sep_sig,Mark_SR,Box_SR,Ellip_SR,Sep_SR
2,0.00016,0.00191,0.00995,0.00191,0.00999,0.00151,0.00674,0.00188,0.00967,0.176,0.175,0.201,0.178
2.5,0.00016,0.0019,0.00978,0.0019,0.00977,0.0015,0.00667,0.00187,0.00945,0.178,0.178,0.2,0.181
3,0.00016,0.00188,0.00946,0.00188,0.00945,0.00148,0.00661,0.00186,0.00932,0.182,0.182,0.2,0.182
3.5,0.00016,0.00187,0.00926,0.00187,0.00926,0.00146,0.00655,0.00185,0.00925,0.185,0.185,0.199,0.183
4,0.00016,0.00186,0.00913,0.00186,0.00913,0.00145,0.00649,0.00185,0.0092,0.186,0.186,0.199,0.183
