,INFY,YESBANK,SUNPHARMA,MARUTI,KOTAKBANK,INDUSINDBK,AXISBANK,RELIANCE,TCS,LT,SBIN,HDFC,ICICIBANK,TATASTEEL,HDFCBANK,ITC,TATAMOTORS,VEDL,HINDUNILVR,ADANIPORTS,M&M,BHARTIARTL,BAJAJ-AUTO,ASIANPAINT,WIPRO,HEROMOTOCO,NTPC,COALINDIA,ONGC,POWERGRID,TATAMTRDVR
116,605.306458,339.600006,487.031067,8758.621094,1307.782593,1889.9276120000002,542.150024,965.4447630000001,1731.1113280000002,1337.1196289999998,269.25,1851.46228,287.730408,590.779602,2064.850098,270.5,305.299988,246.94999700000002,1589.8045650000001,377.491058,911.841492,379.950012,2830.7971190000003,1281.625,264.549988,3575.4729,159.986954,289.049988,171.35505700000002,199.899155,179.800003
117,609.6376339999999,337.600006,526.611694,8789.275391,1318.127441,1875.391479,536.450012,977.371216,1744.68396,1326.653442,272.700012,1825.080688,285.109711,588.962158,2050.100098,267.850006,310.049988,246.149994,1583.05542,377.590546,903.558777,376.75,2817.470947,1271.373657,263.799988,3553.328125,159.24765,289.899994,172.14883400000002,195.66066,186.199997
118,611.23468,335.700012,533.3912349999999,8863.307617,1319.626587,1889.72937,540.099976,976.4270019999999,1747.079102,1325.6660160000001,273.649994,1824.336914,283.57687400000003,578.401062,2045.1500239999998,269.149994,309.850006,245.75,1589.903687,379.679993,909.21283,388.75,2823.938232,1278.838257,264.25,3531.965332,159.29693600000002,287.799988,171.900787,193.294998,185.199997
119,608.9843139999999,332.399994,538.874695,8859.525391,1330.670898,1940.9787600000002,536.799988,989.2976679999999,1777.417969,1346.549316,282.850006,1832.6184079999998,284.07135,569.6083980000001,2044.75,270.0,308.0,244.80000299999998,1628.164917,385.94830299999995,909.064026,381.049988,2828.78833,1278.390259,266.350006,3606.4658200000003,158.902634,283.5,170.015579,192.900711,184.899994
120,617.549988,333.100006,544.009216,8834.569336,1325.573608,1939.434814,539.75,995.956543,1820.531006,1340.032593,287.649994,1815.262207,287.582062,557.524597,2035.25,268.100006,308.149994,243.100006,1608.1660160000001,380.227234,910.006409,376.100006,2849.708252,1276.349976,268.950012,3616.38916,158.015457,283.899994,168.676086,195.66066,185.25
121,619.349976,337.0,557.967102,8817.228516,1332.869873,1960.401978,531.75,1001.323425,1788.645386,1328.3320310000001,282.700012,1818.2869870000002,281.50012200000003,559.3912349999999,2037.1500239999998,267.200012,305.75,240.149994,1601.019775,373.560944,913.7261960000001,376.149994,2831.9729,1285.849976,266.75,3601.9194340000004,156.093262,283.549988,167.187775,196.153503,182.899994
122,640.224976,330.549988,569.332825,8795.956055,1339.766235,1958.1109620000002,528.0,1007.6345210000001,1837.746338,1311.941284,277.549988,1816.700195,279.176086,556.001892,2030.699951,264.5,303.200012,238.75,1609.059082,370.97402999999997,901.3269039999999,377.549988,2815.854248,1281.050049,266.850006,3606.856689,153.82603500000002,279.049988,164.16151399999998,195.66066,180.050003
123,633.25,331.25,569.133423,8836.141602,1313.379883,1959.9039309999998,522.049988,1008.777466,1827.0179440000002,1306.461426,276.850006,1809.75769,289.26324500000004,548.879333,2021.3499760000002,264.149994,308.75,232.30000299999998,1597.8438720000001,368.18807999999996,905.39386,371.25,2843.4372559999997,1276.699951,265.600006,3586.862793,154.46676599999998,274.600006,163.070099,196.054932,183.600006
124,622.025024,330.399994,558.41571,8713.375977,1306.483276,1922.651123,516.75,989.5461429999999,1822.1777339999999,1297.525513,272.399994,1811.69165,288.768799,545.0969240000001,2025.4000239999998,266.149994,304.649994,224.05000299999998,1589.060181,360.825317,885.2078859999999,371.149994,2791.994873,1268.650024,261.649994,3574.104004,153.973892,273.100006,163.56620800000002,195.51281699999998,180.449997
125,621.674988,335.899994,562.304016,8791.4375,1327.0727539999998,1959.7047120000002,519.150024,1013.697144,1822.6269530000002,1290.564453,273.25,1831.378662,290.00494399999997,553.3984379999999,2055.699951,263.75,305.600006,228.75,1590.400024,364.158478,895.375305,372.25,2815.4135739999997,1272.099976,259.799988,3576.450439,154.565338,270.600006,161.532166,196.744934,181.350006
126,623.174988,332.899994,552.932251,8714.998047,1312.780029,1947.054688,513.25,1026.021118,1816.1898190000002,1274.025757,268.700012,1840.00708,294.25735499999996,548.3881230000001,2056.699951,260.799988,306.549988,229.100006,1593.650024,365.004211,876.47876,368.200012,2775.876221,1254.400024,259.0,3550.5417479999996,152.741699,267.75,158.456299,193.048569,180.350006
127,623.224976,335.200012,574.567017,8734.254883,1319.57666,1946.706177,524.650024,1006.093994,1808.156128,1279.160034,273.25,1886.769775,297.52087400000005,550.598572,2081.800049,265.149994,308.149994,228.649994,1607.550049,364.158478,900.830933,374.600006,2773.720703,1268.199951,257.950012,3558.9011229999996,154.66391000000002,265.100006,158.20825200000002,195.019958,181.600006
128,636.150024,334.200012,570.429565,8638.360352,1328.771851,1959.356079,515.150024,997.3976439999999,1816.788574,1252.994385,268.299988,1878.091675,286.247009,548.6828,2093.949951,262.549988,289.850006,230.25,1614.25,359.133911,896.6647949999999,373.600006,2743.1982420000004,1254.050049,257.450012,3505.176514,152.544556,259.049988,155.47966,192.210724,168.75
129,638.924988,335.899994,571.227112,8793.598633,1330.071289,1975.6417239999998,514.049988,972.7000119999999,1848.973755,1253.4880369999998,267.149994,1897.679321,284.81304900000003,539.693604,2093.050049,264.200012,277.350006,231.600006,1621.5,361.52182,891.060303,380.149994,2753.143799,1273.699951,257.25,3488.018311,153.03743,264.5,156.819153,188.711502,165.899994
130,634.599976,335.100006,573.22113,8745.0625,1324.074341,1957.762451,507.60000599999995,965.2999880000001,1856.05957,1219.521851,261.649994,1891.331909,275.81375099999997,533.700867,2111.649902,262.399994,271.200012,229.75,1608.849976,362.865051,884.166321,374.75,2709.736084,1265.25,255.850006,3459.127197,151.115219,266.450012,154.933945,185.409424,161.850006
131,644.424988,329.200012,563.550293,8627.40625,1337.41748,1960.152954,504.950012,944.7000119999999,1843.5847170000002,1220.4105220000001,256.850006,1863.6115719999998,268.14950600000003,538.416504,2132.899902,260.049988,263.899994,230.0,1604.150024,360.228333,899.9381710000001,376.350006,2663.4379879999997,1267.449951,257.0,3435.467285,153.82603500000002,260.5,152.850311,182.25518799999998,157.649994
