ConfidenceLevel,RiskfreeRate,BaseVar_u,BaseVar_sig,WorstCaseVar_u,WorstCaseVar_sig,BaseVar_SR,WorstCaseVar_SR
0.0001,0.00016,0.000125,0.00242,6.6e-05,0.00215,-0.0141,-0.0436
0.0201,0.00016,0.000147,0.00244,7.63e-05,0.00215,-0.00523,-0.0387
0.0401,0.00016,0.000157,0.00245,8.1e-05,0.00215,-0.00112,-0.0365
0.0601,0.00016,0.000165,0.00247,8.48e-05,0.00215,0.00226,-0.0347
0.0801,0.00016,0.000172,0.00247,8.81e-05,0.00216,0.00519,-0.0332
