S.No.,Company Name,Ticker,Sector
139,NTT DATA CORP,9613,Information & Communication
140,NTT DOCOMO INC,9437,Information & Communication
141,OBAYASHI CORP,1802,Construction
142,ODAKYU ELECTRIC RAILWAY LTD,9007,Land Transportation
143,OJI HOLDINGS CORP,3861,Pulp & Paper
144,OKI ELECTRIC INDUSTRY LTD,6703,Electric Appliances
145,OKUMA CORP,6103,Machinery
146,OLYMPUS CORP,7733,Precision Instruments
147,OMRON CORP,6645,Electric Appliances
148,OSAKA GAS LTD,9532,Electric Power & Gas
149,OTSUKA HOLDINGS LTD,4578,Pharmaceutical
150,PACIFIC METALS LTD,5541,Iron & Steel
151,PANASONIC CORP,6752,Electric Appliances
152,RAKUTEN INC,4755,Services
153,RECRUIT HOLDINGS LTD,6098,Services
154,RESONA HOLDINGS INC,8308,Banks
155,RICOH LTD,7752,Electric Appliances
156,SAPPORO HOLDINGS LTD,2501,Foods
157,SCREEN HOLDINGS LTD,7735,Electric Appliances
158,SECOM LTD,9735,Services
159,SEIKO EPSON CORP,6724,Electric Appliances
160,SEKISUI HOUSE LTD,1928,Construction
161,SEVEN & I HOLDINGS LTD,3382,Retail Trade
162,SHIMIZU CORP,1803,Construction
163,SHIN ETSU CHEMICAL LTD,4063,Chemicals
164,SHINSEI BANK LTD,8303,Banks
165,SHIONOGI LTD,4507,Pharmaceutical
166,SHISEIDO LTD,4911,Chemicals
167,SHIZUOKA BANK LTD,8355,Banks
168,SHOWA DENKO,4004,Chemicals
169,SKY PERFECT JSAT HOLDINGS INC,9412,Information & Communication
170,SOFTBANK GROUP CORP,9984,Information & Communication
171,SOJITZ CORP,2768,Wholesale Trade
172,SOMPO HOLDINGS INC,8630,Insurance
173,SONY CORP,6758,Electric Appliances
174,SONY FINANCIAL HOLDINGS INC,8729,Insurance
175,SUBARU CORP,7270,Transportation Equipment
176,SUMCO CORP,3436,Metal Products
177,SUMITOMO CHEMICAL LTD,4005,Chemicals
178,SUMITOMO CORP,8053,Wholesale Trade
179,SUMITOMO ELECTRIC INDUSTRIES LTD,5802,Nonferrous Metal
180,SUMITOMO HEAVY INDUSTRIES LTD,6302,Machinery
181,SUMITOMO METAL MINING LTD,5713,Nonferrous Metal
182,SUMITOMO MITSUI FINANCIAL GROUP IN,8316,Banks
183,SUMITOMO MITSUI TRUST HOLDINGS INC,8309,Banks
184,SUMITOMO OSAKA CEMENT LTD,5232,Glass & Ceramics Products
185,SUMITOMO REALTY & DEVELOPMENT LTD,8830,Real Estate ex REIT
186,SUZUKI MOTOR CORP,7269,Transportation Equipment
187,T&D HOLDINGS INC,8795,Insurance
188,TAIHEIYO CEMENT CORP,5233,Glass & Ceramics Products
189,TAISEI CORP,1801,Construction
190,TAIYO YUDEN LTD,6976,Electric Appliances
191,TAKARA HOLDINGS INC,2531,Foods
192,TAKASHIMAYA LTD,8233,Retail Trade
193,TAKEDA PHARMACEUTICAL LTD,4502,Pharmaceutical
194,TDK CORP,6762,Electric Appliances
195,TEIJIN LTD,3401,Textiles & Apparel
196,TERUMO CORP,4543,Precision Instruments
197,TOBU RAILWAY LTD,9001,Land Transportation
198,TOHO (TOKYO) LTD,9602,Information & Communication
199,TOHO ZINC LTD,5707,Nonferrous Metal
200,TOKAI CARBON LTD,5301,Glass & Ceramics Products
201,TOKIO MARINE HOLDINGS INC,8766,Insurance
202,TOKUYAMA CORP,4043,Chemicals
203,TOKYO ELECTRIC POWER HOLDINGS INC,9501,Electric Power & Gas
204,TOKYO ELECTRON LTD,8035,Electric Appliances
205,TOKYO GAS LTD,9531,Electric Power & Gas
206,TOKYO TATEMONO LTD,8804,Real Estate ex REIT
207,TOKYU CORP,9005,Land Transportation
208,TOKYU FUDOSAN HOLDINGS CORP,3289,Real Estate ex REIT
209,TOPPAN PRINTING LTD,7911,Other Products
210,TORAY INDUSTRIES INC,3402,Textiles & Apparel
211,TOSOH CORP,4042,Chemicals
212,TOTO LTD,5332,Glass & Ceramics Products
213,TOYO SEIKAN GROUP HOLDINGS LTD,5901,Metal Products
214,TOYOBO LTD,3101,Textiles & Apparel
215,TOYOTA MOTOR CORP,7203,Transportation Equipment
216,TOYOTA TSUSHO CORP,8015,Wholesale Trade
217,TREND MICRO INC,4704,Information & Communication
218,UBE INDUSTRIES LTD,4208,Chemicals
219,UNITIKA LTD,3103,Textiles & Apparel
220,WEST JAPAN RAILWAY,9021,Land Transportation
221,YAMAHA CORP,7951,Other Products
222,YAMAHA MOTOR LTD,7272,Transportation Equipment
223,YAMATO HOLDINGS LTD,9064,Land Transportation
224,YASKAWA ELECTRIC CORP,6506,Electric Appliances
225,YOKOGAWA ELECTRIC CORP,6841,Electric Appliances
226,YOKOHAMA RUBBER LTD,5101,Rubber Products
227,Z HOLDINGS CORP,4689,Information & Communication
