,AAL.L,ABF.L,ADM.L,AHT.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BATS.L,BDEV.L,BHP.L,BKG.L,BLND.L,BNZL.L,BP.L,BRBY.L,BT-A.L,CCH.L,CCL.L,CNA.L,CPG.L,CRDA.L,CRH.L,DCC.L,DGE.L,DLG.L,EVR.L,EXPN.L,EZJ.L,FERG.L,FLTR.L,FRES.L,GLEN.L,GSK.L,HIK.L,HL.L,HLMA.L,HSBA.L,HSX.L,IAG.L,IHG.L,III.L,IMB.L,INF.L,ITRK.L,ITV.L,JE.L,JMAT.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSE.L,MCRO.L,MKS.L,MNDI.L,MRO.L,MRW.L,NG.L,NMC.L,NXT.L,OCDO.L,PHNX.L,PRU.L,PSN.L,PSON.L,RB.L,RBS.L,RDSA.L,RDSB.L,REL.L,RIO.L,RMV.L,RR.L,RSA.L,RTO.L,SBRY.L,SDR.L,SGE.L,SGRO.L,SKG.L,SLA.L,SMDS.L,SMIN.L,SMT.L,SN.L,SSE.L,STAN.L,STJ.L,SVT.L,TSCO.L,TUI.L,TW.L,ULVR.L,UU.L,VOD.L,WPP.L,WTB.L
0,1345.79296875,2754.660888671875,1758.4605712890625,1876.044189453125,877.5449829101562,342.4471435546875,441.60174560546875,4474.072265625,519.0276489257812,184.2875518798828,4332.4033203125,584.4738159179688,1299.33154296875,4075.107421875,602.8171997070312,1955.7227783203125,442.84539794921875,1670.5191650390625,233.39060974121094,2259.21533203125,4369.65576171875,111.96337127685547,1453.1119384765625,4282.72412109375,2403.2685546875,6980.25537109375,2530.003173828125,326.4063415527344,247.39663696289062,1535.5167236328125,1236.5743408203125,5301.11865234375,8089.2490234375,1301.591552734375,331.4594421386719,1158.725830078125,1034.0352783203125,1662.338623046875,1239.47705078125,647.5255126953125,1361.7535400390625,572.915283203125,4693.96630859375,7.429987907409668,2318.855712890625,697.6893310546875,4923.23779296875,147.65284729003906,775.0,2901.681640625,-8.951072692871094,894.5181274414062,239.0124969482422,60.11324691772461,3701.237548828125,2749.616455078125,256.85943603515625,1731.487548828125,193.23916625976562,201.4606475830078,779.0745849609375,2837.46435546875,3991.407470703125,344.6000061035156,597.1354370117188,1777.95263671875,2206.177978515625,693.937255859375,6350.71826171875,268.1033020019531,2099.2587890625,2128.4423828125,1647.2752685546875,3260.0400390625,402.7084045410156,831.8508911132812,568.6123046875,307.4427490234375,216.6843719482422,3246.92529296875,739.3189086914062,545.4598388671875,2278.04736328125,424.88006591796875,439.0268859863281,1413.1341552734375,439.19232177734375,1236.641845703125,1101.325439453125,725.44873046875,1091.021240234375,1917.7987060546875,197.06369018554688,1141.2562255859375,0.44261428713798523,3920.1279296875,734.46923828125,201.3955078125,1220.5975341796875,3676.260498046875
1,1331.7032470703125,2708.46142578125,1783.30517578125,1884.71630859375,869.6849975585938,339.6378479003906,442.4770812988281,4452.20947265625,519.9495849609375,184.0172119140625,4362.9755859375,588.5737915039062,1282.1158447265625,4069.290771484375,604.5980834960938,1977.7186279296875,441.1946105957031,1675.275634765625,232.03440856933594,2260.17578125,4493.21484375,111.55770111083984,1476.68603515625,4274.89404296875,2455.205322265625,6999.4716796875,2523.853271484375,327.55975341796875,245.4283905029297,1530.712158203125,1271.5970458984375,5421.13671875,8225.7958984375,1266.258544921875,329.71063232421875,1164.057373046875,1080.3353271484375,1683.6258544921875,1234.593505859375,647.69677734375,1348.3089599609375,578.7659301757812,4685.8466796875,7.429987907409668,2351.020751953125,692.4862060546875,4928.064453125,147.65284729003906,767.0,2923.520263671875,-9.117578506469727,891.368408203125,239.45510864257812,60.47347640991211,3699.284423828125,2701.77587890625,260.2276306152344,1703.51513671875,197.35269165039062,200.8942108154297,780.86328125,2819.66845703125,3998.956298828125,345.3999938964844,601.053466796875,1761.47705078125,2234.11474609375,688.2022094726562,6307.201171875,268.68463134765625,2093.19287109375,2121.49951171875,1638.7105712890625,3235.625244140625,409.49566650390625,838.1712036132812,570.93505859375,303.83721923828125,217.41641235351562,3260.80517578125,741.1988525390625,546.4059448242188,2267.83203125,422.4873352050781,443.3266296386719,1422.7537841796875,441.78521728515625,1238.5682373046875,1101.325439453125,731.9039306640625,1097.41748046875,1926.0140380859375,197.015869140625,1158.1297607421875,0.4454156458377838,3894.98681640625,737.5795288085938,202.87539672851562,1211.6553955078125,3688.670654296875
2,1354.4285888671875,2693.0615234375,1773.1832275390625,1897.2425537109375,881.2438354492188,334.2129211425781,436.8749694824219,4427.15869140625,524.5590209960938,183.4314727783203,4297.46484375,585.8404541015625,1299.78466796875,4080.9228515625,601.0362548828125,1970.0679931640625,441.9765625,1673.3731689453125,228.98300170898438,2260.17578125,4476.9814453125,112.20677185058594,1464.427490234375,4260.2001953125,2456.149658203125,7090.74853515625,2512.972900390625,327.11614990234375,253.83135986328125,1531.673095703125,1280.5772705078125,5401.13427734375,8268.1728515625,1284.4024658203125,332.26654052734375,1164.057373046875,1085.1583251953125,1692.334228515625,1221.89599609375,649.40966796875,1337.7451171875,581.916259765625,4675.69189453125,7.429987907409668,2345.784912109375,684.9180908203125,4957.0244140625,147.3848876953125,763.0,2918.7724609375,-9.109521865844727,888.6685791015625,238.12725830078125,59.95114517211914,3662.17431640625,2701.77587890625,261.4908142089844,1747.3385009765625,195.917724609375,200.32777404785156,778.2696533203125,2706.960693359375,4050.85400390625,356.8999938964844,601.4456176757812,1752.0625,2236.57958984375,694.4151611328125,6228.6796875,266.1654357910156,2088.860107421875,2110.65185546875,1644.4202880859375,3293.77685546875,405.42333984375,830.392333984375,569.076904296875,305.2015075683594,216.50135803222656,3247.850830078125,741.6690063476562,545.4598388671875,2252.044677734375,416.8044128417969,445.0467529296875,1424.6778564453125,438.2947998046875,1232.7894287109375,1087.04443359375,729.435791015625,1088.27978515625,1923.2755126953125,197.15933227539062,1165.032470703125,0.4439072608947754,3841.446044921875,734.0248413085938,201.9613494873047,1209.8668212890625,3694.3984375
3,1369.8819580078125,2691.13623046875,1778.704345703125,1904.950927734375,895.1143798828125,334.5035400390625,438.1004638671875,4484.091796875,524.0980834960938,184.33262634277344,4378.69677734375,584.9293823242188,1331.044677734375,4042.1494140625,601.0362548828125,1968.1552734375,451.3600158691406,1679.116943359375,232.24630737304688,2267.860107421875,4399.41748046875,111.719970703125,1484.2298583984375,4272.9345703125,2498.6435546875,7061.923828125,2539.93798828125,329.4228820800781,255.6482391357422,1544.1649169921875,1281.475341796875,5386.134765625,8249.3388671875,1295.8619384765625,337.2886657714844,1172.943359375,1059.1146240234375,1701.042724609375,1231.6630859375,655.8326416015625,1350.2296142578125,585.5166625976562,4774.16357421875,7.429987907409668,2354.760986328125,683.9719848632812,4995.6376953125,147.4741973876953,765.0,2914.974609375,-9.133692741394043,892.2681884765625,239.0124969482422,60.61756134033203,3652.40869140625,2712.64453125,263.17535400390625,1757.5950927734375,198.02230834960938,202.21588134765625,775.4971313476562,2785.065185546875,4165.97265625,357.8999938964844,604.5801391601562,1769.9503173828125,2219.32470703125,698.2384643554688,6357.3408203125,267.9095153808594,2127.422607421875,2143.630615234375,1646.323486328125,3349.708740234375,404.9708557128906,829.4199829101562,571.399658203125,302.9602355957031,216.86737060546875,3263.581298828125,741.1988525390625,546.4059448242188,2293.8349609375,427.3722229003906,445.4765625,1433.33544921875,443.0816650390625,1231.8262939453125,1092.9248046875,733.8974609375,1097.41748046875,1926.0140380859375,198.45046997070312,1175.003173828125,0.44261428713798523,3854.94775390625,736.0479125976562,204.96463012695312,1200.03076171875,3723.036865234375
4,1364.427734375,2713.273681640625,1768.582275390625,1873.1534423828125,891.4155883789062,341.0909729003906,437.6627502441406,4501.85498046875,523.6371459960938,182.1698455810547,4341.13818359375,586.7515869140625,1326.061279296875,4075.107421875,600.1459350585938,1974.849609375,449.3617248535156,1683.9034423828125,232.33106994628906,2285.150146484375,4421.96533203125,112.61243438720703,1479.514892578125,4272.9345703125,2507.142578125,7148.396484375,2544.668701171875,331.4635009765625,253.7556610107422,1534.555908203125,1297.6397705078125,5426.14111328125,8230.5048828125,1289.1773681640625,336.660888671875,1156.948486328125,1102.5208740234375,1699.1075439453125,1230.6864013671875,652.2357177734375,1352.150146484375,580.566162109375,4789.39111328125,7.429987907409668,2340.548828125,686.8101806640625,4985.984375,147.4741973876953,766.5,2915.923828125,-9.17666244506836,888.2186889648438,239.6321563720703,60.527503967285156,3650.45556640625,2716.9921875,264.01715087890625,1747.3385009765625,199.64857482910156,201.7438507080078,775.0499267578125,2784.07666015625,4320.72265625,361.70001220703125,605.7557983398438,1776.5404052734375,2234.11474609375,702.539794921875,6464.24267578125,267.2312316894531,2125.25634765625,2144.931884765625,1648.2269287109375,3326.18212890625,406.23779296875,835.740234375,573.722412109375,301.8883056640625,217.7824249267578,3228.419189453125,747.7789916992188,545.9329223632812,2279.90478515625,427.072998046875,440.7469787597656,1428.525634765625,444.17864990234375,1245.31005859375,1095.445068359375,729.435791015625,1098.3314208984375,1955.223876953125,197.73316955566406,1175.003173828125,0.44282981753349304,3843.77392578125,738.75732421875,205.35638427734375,1202.7132568359375,3768.85888671875
5,1385.3349609375,2728.673828125,1798.9481201171875,1891.4610595703125,910.3720092773438,343.6096496582031,437.6627502441406,4505.04443359375,524.5590209960938,182.62042236328125,4371.71044921875,592.6737670898438,1346.4481201171875,4084.800048828125,608.15966796875,1959.5482177734375,450.6649169921875,1715.49462890625,232.4582061767578,2313.966552734375,4400.31884765625,111.47657012939453,1482.34375,4305.2490234375,2514.697021484375,7148.396484375,2540.88427734375,332.5281066894531,255.95101928710938,1558.5782470703125,1294.047607421875,5326.125,8230.5048828125,1334.059814453125,343.61114501953125,1164.5018310546875,1107.34375,1723.297607421875,1240.4537353515625,653.948486328125,1375.1982421875,583.7164916992188,4787.357421875,7.429987907409668,2337.556396484375,685.864013671875,4971.50439453125,146.4916229248047,765.0,2928.267822265625,-9.19277572631836,899.0177001953125,239.1895294189453,61.04084014892578,3658.26806640625,2697.428466796875,266.2916259765625,1774.37841796875,200.8922119140625,204.4816131591797,775.9442749023438,2870.09033203125,4279.2041015625,375.6000061035156,609.6737060546875,1774.186767578125,2243.974609375,700.1502075195312,6433.0234375,267.2312316894531,2134.787841796875,2158.818115234375,1648.2269287109375,3373.23583984375,407.41424560546875,826.0167236328125,581.6198120117188,306.4682922363281,220.34457397460938,3247.850830078125,746.8389892578125,547.8252563476562,2298.478271484375,431.95782470703125,443.3266296386719,1435.259521484375,446.17315673828125,1238.5682373046875,1093.7650146484375,733.23291015625,1105.6412353515625,1950.6597900390625,199.98068237304688,1171.935302734375,0.4462776184082031,3849.826416015625,740.5635375976562,203.87648010253906,1199.136474609375,3780.314453125
6,1397.606689453125,2726.74853515625,1802.62890625,1897.2425537109375,917.7697143554688,343.8033752441406,438.5380859375,4553.32275390625,524.0980834960938,183.29627990722656,4366.5107421875,590.8516235351562,1358.680419921875,4105.15625,610.3857421875,1968.1552734375,450.57806396484375,1713.5799560546875,230.68934631347656,2318.769287109375,4410.24072265625,111.96337127685547,1487.05859375,4314.06298828125,2514.697021484375,7167.61279296875,2549.3994140625,333.6815185546875,257.9949951171875,1555.695556640625,1294.047607421875,5356.12451171875,8296.423828125,1327.375,345.6737976074219,1164.057373046875,1071.654052734375,1727.1680908203125,1232.320068359375,652.9208374023438,1380.9603271484375,583.2665405273438,4786.34423828125,7.429987907409668,2343.91455078125,686.337158203125,4966.677734375,146.84893798828125,760.0,2934.914306640625,-9.251858711242676,906.217041015625,239.89772033691406,60.851722717285156,3660.22119140625,2688.724365234375,266.3758544921875,1783.7025146484375,200.79652404785156,206.93614196777344,778.0907592773438,2806.81591796875,4286.7529296875,384.70001220703125,610.0658569335938,1771.833251953125,2250.548095703125,700.6280517578125,6448.16015625,267.61883544921875,2132.6220703125,2157.949951171875,1651.081787109375,3425.172607421875,407.14276123046875,823.099609375,580.690673828125,305.2989501953125,221.3511199951172,3257.10400390625,742.6089477539062,549.7174682617188,2299.406982421875,429.6645812988281,440.3162841796875,1436.221435546875,445.8739929199219,1236.641845703125,1092.084716796875,734.5619506835938,1111.123779296875,1965.2646484375,199.3112030029297,1173.4691162109375,0.4460621178150177,3840.049560546875,741.918212890625,203.96356201171875,1208.0784912109375,3782.2236328125
7,1408.514892578125,2714.236083984375,1842.196533203125,1919.4044189453125,929.3284912109375,341.76904296875,443.3523864746094,4664.91357421875,528.24658203125,183.02593994140625,4421.5830078125,589.9404907226562,1379.5205078125,4068.32177734375,615.7283325195312,1981.5440673828125,454.1402893066406,1715.49462890625,234.44285583496094,2324.53271484375,4412.044921875,111.39543914794922,1508.746826171875,4332.66796875,2509.03125,7172.41650390625,2578.257080078125,338.6499328613281,257.3893737792969,1572.0308837890625,1314.7021484375,5331.11865234375,8310.548828125,1364.6180419921875,349.7542419433594,1175.164794921875,1093.839599609375,1743.6171875,1236.2445068359375,656.774658203125,1405.928955078125,585.966796875,4790.404296875,7.429987907409668,2368.2255859375,683.0260620117188,5010.1181640625,147.8314971923828,781.0,2919.72216796875,-9.069238662719727,907.116943359375,241.9337615966797,61.292999267578125,3704.167236328125,2743.086181640625,265.1126708984375,1800.4859619140625,202.99679565429688,207.59695434570312,782.6520385742188,2852.29443359375,4269.7685546875,397.1000061035156,612.8082885742188,1793.95751953125,2249.726318359375,703.49560546875,6545.6015625,269.3628845214844,2149.08642578125,2177.04296875,1654.8880615234375,3499.748779296875,407.2332763671875,823.5857543945312,587.658935546875,309.87890625,220.89358520507812,3253.40283203125,750.1289672851562,555.3944091796875,2328.196044921875,435.2472229003906,445.0467529296875,1433.33544921875,447.76873779296875,1240.494384765625,1108.8861083984375,740.5424194335938,1120.2613525390625,1973.47998046875,200.12411499023438,1181.138916015625,0.4447691738605499,3841.446044921875,749.1432495117188,204.57290649414062,1199.136474609375,3818.499755859375
8,1449.875,2674.773681640625,1792.9671630859375,1894.351806640625,925.6296997070312,341.9627990722656,440.1136779785156,4650.337890625,530.4591674804688,183.11605834960938,4352.85302734375,595.31591796875,1385.4100341796875,4091.5859375,609.228271484375,1954.766357421875,449.62237548828125,1706.87890625,237.29031372070312,2285.150146484375,4421.06396484375,114.55962371826172,1489.8876953125,4312.10302734375,2503.365478515625,7196.4365234375,2533.787841796875,330.0439453125,268.5177001953125,1536.9580078125,1347.9288330078125,5337.12646484375,8381.177734375,1370.34765625,353.5208435058594,1174.5428466796875,1068.7603759765625,1763.936767578125,1230.357666015625,655.2332153320312,1391.52392578125,601.9885864257812,4778.2236328125,7.429987907409668,2360.745361328125,682.0799560546875,4944.474609375,149.88595581054688,777.0,2913.07568359375,-9.22231674194336,895.41796875,239.1895294189453,60.968788146972656,3654.36181640625,2703.949951171875,266.2073059082031,1802.3507080078125,202.0401611328125,206.74732971191406,770.8465576171875,2835.4873046875,4246.17822265625,392.5,606.9312744140625,1771.833251953125,2260.408203125,702.1574096679688,6433.0234375,268.68463134765625,2145.18701171875,2169.666259765625,1632.049072265625,3541.031982421875,407.9572448730469,819.1129760742188,575.1160888671875,299.64703369140625,220.71060180664062,3250.626708984375,740.352783203125,547.8252563476562,2293.8349609375,424.0819396972656,441.86444091796875,1419.867919921875,447.17041015625,1216.4163818359375,1092.084716796875,738.2642211914062,1130.3125,1951.5723876953125,199.40684509277344,1186.8912353515625,0.4484325051307678,3766.489013671875,737.4928588867188,203.52830505371094,1195.1124267578125,3789.86083984375
9,1438.2396240234375,2730.598388671875,1773.1832275390625,1930.9669189453125,901.7722778320312,347.19390869140625,440.28875732421875,4705.90625,529.7215576171875,183.56663513183594,4349.76953125,594.9515991210938,1399.3638916015625,4095.463134765625,610.8310546875,1957.6353759765625,455.4435119628906,1713.1011962890625,235.04684448242188,2284.189453125,4398.515625,113.34263610839844,1473.3856201171875,4368.9111328125,2529.805908203125,7153.2001953125,2541.830322265625,327.02740478515625,272.5299377441406,1571.5504150390625,1375.318359375,5363.1279296875,8258.755859375,1336.924560546875,349.70941162109375,1193.5587158203125,1074.0655517578125,1743.1334228515625,1239.1881103515625,653.7772827148438,1368.475830078125,601.0885620117188,4765.021484375,7.429987907409668,2350.646728515625,674.7010498046875,5021.70166015625,152.65499877929688,810.4000244140625,2959.60107421875,-9.19009017944336,895.3280029296875,238.48133850097656,60.76166534423828,3661.197509765625,2737.65625,269.91259765625,1800.4859619140625,204.43173217773438,210.8067626953125,764.0493774414062,2886.897705078125,4529.25634765625,423.0,608.4990844726562,1774.657470703125,2262.051513671875,703.6868286132812,6384.77587890625,266.9405822753906,2176.383544921875,2199.607666015625,1625.3876953125,3539.25634765625,411.0341491699219,827.6697387695312,571.7713012695312,298.0879211425781,222.81521606445312,3258.029296875,747.3089599609375,551.7991333007812,2286.405517578125,421.191162109375,441.34869384765625,1442.9552001953125,455.1484680175781,1218.3426513671875,1089.564453125,738.0743408203125,1130.3125,1940.618896484375,200.4588623046875,1192.6435546875,0.4505874216556549,3779.05908203125,727.1973266601562,203.22360229492188,1165.1563720703125,3793.67919921875
